Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Carnegie G.D.","35072430100;","Santa in the big scheme of life",2020,"Accounting, Auditing and Accountability Journal","33","8",,"2201","2202",,,"10.1108/AAAJ-10-2020-094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095442543&doi=10.1108%2fAAAJ-10-2020-094&partnerID=40&md5=f4b5502af070291b130a008f874b22f2","School of Accounting, RMIT University, Melbourne, Australia","Carnegie, G.D., School of Accounting, RMIT University, Melbourne, Australia",[No abstract available],,,"Carnegie, G.D.; School of Accounting, Australia; email: garry.carnegie@rmit.edu.au",,"Emerald Group Holdings Ltd.",09513574,,,,"English","Account. Audit. Account. J.",Editorial,"Final","",Scopus,2-s2.0-85095442543
"Alawattage C.","23974440000;","Numbers into which, the dead are turned",2020,"Accounting, Auditing and Accountability Journal","33","8",,"2199","2200",,,"10.1108/AAAJ-10-2020-093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095425197&doi=10.1108%2fAAAJ-10-2020-093&partnerID=40&md5=a1aaeb719fb20bc23061affa3cb3b77a","Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom","Alawattage, C., Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom",[No abstract available],,,"Alawattage, C.; Adam Smith Business School, United Kingdom; email: Chandana.Alawattage@glasgow.ac.uk",,"Emerald Group Holdings Ltd.",09513574,,,,"English","Account. Audit. Account. J.",Editorial,"Final","",Scopus,2-s2.0-85095425197
"Evans S.","57216626449;","Literature and Insights Editorial",2020,"Accounting, Auditing and Accountability Journal","33","8",,"2195","2198",,,"10.1108/AAAJ-10-2020-100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095418253&doi=10.1108%2fAAAJ-10-2020-100&partnerID=40&md5=6ed71c02213a9918f19bfc58b59b31b4",,"Evans, S.",[No abstract available],,,"Evans, S.email: steve.evans@flinders.edu.au",,"Emerald Group Holdings Ltd.",09513574,,,,"English","Account. Audit. Account. J.",Editorial,"Final","",Scopus,2-s2.0-85095418253
"Ullah M.H., Hazelton J., Nelson P.F.","57219536429;6701634876;7402247113;","Can databases facilitate accountability? The case of Australian mercury accounting via the National Pollutant Inventory",2020,"Accounting, Auditing and Accountability Journal","34","1",,"164","193",,,"10.1108/AAAJ-11-2017-3232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093700939&doi=10.1108%2fAAAJ-11-2017-3232&partnerID=40&md5=1f0ec1d1e1906a025845b798c007f138","Department of Economics, Finance and Accounting, Coventry University, Coventry, United Kingdom; Department of Accounting and Corporate Governance, Macquarie University, Sydney, Australia; Department of Earth and Environmental Sciences, Macquarie University, Sydney, Australia","Ullah, M.H., Department of Economics, Finance and Accounting, Coventry University, Coventry, United Kingdom; Hazelton, J., Department of Accounting and Corporate Governance, Macquarie University, Sydney, Australia; Nelson, P.F., Department of Earth and Environmental Sciences, Macquarie University, Sydney, Australia","Purpose: This paper furthers research into the potential contribution of pollutant databases for corporate accountability. We evaluate the quality of corporate and government mercury reporting via the Australian National Pollutant Inventory (NPI), which underpins Australia's reporting under the Minamata Convention, a global agreement to reduce mercury pollution. Design/methodology/approach: The qualitative characteristics of accounting information are used as a theoretical frame to analyse ten interviews with thirteen interviewees as well as 54 submissions to the 2018 governmental enquiry into the NPI. Findings: While Australian mercury accounting using the NPI is likely sufficient to meet the expected Minamata reporting requirements (especially in comparison to developing countries), we find significant limitations in relation to comparability, accuracy, timeliness and completeness. These limitations primarily relate to government (as opposed to industry) deficiencies, caused by insufficient funding. The findings suggest that multiple factors are required to realise the potential of pollutant databases for corporate accountability, including appropriate rules, ideological commitment and resourcing Practical implications: The provision of additional funding would enable the NPI to be considerably improved (for mercury as well as other pollutants), particularly in relation to the measurement and reporting of emissions from diffuse sources. Originality/value: Whilst there have been prior reviews of the NPI, none have focused on mercury, whilst conversely prior studies which have discussed mercury information have not focused on the NPI. In addition, no prior NPI studies have utilised interviews nor have engaged directly with NPI regulators. There has been little prior engagement with pollutant databases in social and environmental accounting (SEA) research. © 2020, Emerald Publishing Limited.","Databases; Mandatory reporting; Mercury; National Pollutant Inventory",,"Ullah, M.H.; Department of Economics, United Kingdom; email: hafij_1980@yahoo.com",,"Emerald Group Holdings Ltd.",09513574,,,,"English","Account. Audit. Account. J.",Article,"Final","",Scopus,2-s2.0-85093700939
"Yang D., Dumay J., Tweedie D.","57218305884;16237803000;55251082400;","Accounting's role in resisting wage theft: a labour process theory analysis",2020,"Accounting, Auditing and Accountability Journal","34","1",,"85","110",,,"10.1108/AAAJ-11-2019-4268","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092747995&doi=10.1108%2fAAAJ-11-2019-4268&partnerID=40&md5=32284f25d39daaabe62d24f5308a0570","Department of Accounting and Corporate Governance, Macquarie University, Sydney, Australia; Management, University of Bologna, Bologna, Italy; Accounting and Corporate Governance, Macquarie University, Sydney, Australia","Yang, D., Department of Accounting and Corporate Governance, Macquarie University, Sydney, Australia; Dumay, J., Department of Accounting and Corporate Governance, Macquarie University, Sydney, Australia, Management, University of Bologna, Bologna, Italy; Tweedie, D., Accounting and Corporate Governance, Macquarie University, Sydney, Australia","Purpose: In 2015, one university student in KC – a small town in regional Australia – unknowingly launched a resistance movement and national debate on modern wage theft. We apply labour process theory to analyse accounting's role in this case. Design/methodology/approach: We study multiple instances of wage theft in one Australian town. This case site reveals how wage theft can emerge in a developed economy with well-established legal and institutional constraints. We use Thompson's “core” labour process theory to analyse accounting's role via two interrelated dialectics: (1) structure and agency and, (2) control and resistance. Findings: Accounting was “weaponised” by both sides of the controversy: as a tool of employer control and as a vehicle for student resistance. Digital technologies enabled employee resistance to form unconsciously and organically. Proponents mobilised informally, with information and accounting the ammunition. Social implications: Wage theft affects industrialised as well as developing economies, especially “precarious” workers. We show how accounting can conceal exploitation, but also how – with the right support – accounting can help vulnerable workers enforce their rights and entitlements. Originality/value: The paper uncovers novel dynamics of exploitation and resistance at work under contemporary economic and technological conditions. Labour process theory can provide a more dialectical perspective on accounting's role in these dynamics, including the emancipatory potential of informal and opportunistic counter-accounts. © 2020, Emerald Publishing Limited.","Counter-accounts; Dialectics; Labour process theory; Precarious work; Wage theft",,"Yang, D.; Department of Accounting and Corporate Governance, Australia; email: da.yang1@hdr.mq.edu.au",,"Emerald Group Holdings Ltd.",09513574,,,,"English","Account. Audit. Account. J.",Article,"Final","",Scopus,2-s2.0-85092747995
"Kerveillant M., Lorino P.","57202599481;26656822000;","Dialogical and situated accountability to the public. The reporting of nuclear incidents",2020,"Accounting, Auditing and Accountability Journal","34","1",,"111","136",,,"10.1108/AAAJ-04-2019-3983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092302196&doi=10.1108%2fAAAJ-04-2019-3983&partnerID=40&md5=4ecd5eae24872e84b9176210ec9ba60b","ESSEC Business School, Paris, France","Kerveillant, M., ESSEC Business School, Paris, France; Lorino, P., ESSEC Business School, Paris, France","Purpose: The paper aims to investigate how far the pragmatist concept of inquiry (Dewey, 1916, 1938) makes it possible to develop a processual and relational approach to accountability, moving the focus away from a representational conception of truth and subjectivist/individualist views on meaning-making, toward collective exploration and understanding of an issue by stakeholders with the aim of transforming social practices. The paper studies an accountability process in action, namely nuclear incident reporting, and its role in the construction of a community of inquiry investigating nuclear safety. Design/methodology/approach: This research opts for a case study methodology including 36 in-depth interviews, field observation and document analyses. The data are drawn from a three-year field study of a “Local Information Commission”, a body set up to represent the public living near a nuclear site. Findings: The object of accountability needs to be constructed through a joint exploratory inquiry by accountors and accountees into reports of incidents as originally presented, to advance their understanding and capacity for action. Research limitations/implications: It will be important to test this processual and relational approach to accountability in other types of situation, involving different governance issues than nuclear safety. Practical implications: To turn theoretical stakeholders such as the public into real stakeholders (e.g. in the studied case, active participants in safety inquiries), specific social and managerial conditions must be fulfilled (concerning time, resources, commitment to open, taboo-free dialogue and legitimacy). Originality/value: The paper argues that Dewey's concept of inquiry makes a valuable contribution to the processual and dialogical view of accountability. © 2020, Emerald Publishing Limited.","Accountability; Inquiry; Pragmatism; Risk governance; Stakeholder engagement",,"Kerveillant, M.; ESSEC Business SchoolFrance; email: marie.kerveillant@essec.edu",,"Emerald Group Holdings Ltd.",09513574,,,,"English","Account. Audit. Account. J.",Article,"Final","",Scopus,2-s2.0-85092302196
"Laaksonen J.","57219055283;","International comparability and translation: how is the concept of equivalence used and understood in accounting research?",2020,"Accounting, Auditing and Accountability Journal","34","1",,"137","163",,,"10.1108/AAAJ-05-2019-3997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091138916&doi=10.1108%2fAAAJ-05-2019-3997&partnerID=40&md5=f19ce92438c74cb27c5322f7cdd93a1e","Faculty of Management and Business, Tampere University, Tampere, Finland","Laaksonen, J., Faculty of Management and Business, Tampere University, Tampere, Finland","Purpose: The purpose of this paper is to examine the concept of translation equivalence in extant research on translation in accounting: What is the equivalence that is expected of translation, and how is it assumed to come into being? This paper presents a coherent, theoretically informed approach to how different views on equivalence are connected to the objective of international comparability in financial accounting and how related, often-underlying assumptions intertwine in this discussion. Design/methodology/approach: This paper takes an interdisciplinary approach by utilizing equivalence theories from the discipline of translation studies. It canvasses two dichotomy-like approaches – natural versus directional equivalence and formal versus dynamic equivalence – to compose a theoretical framework within which to analyze 25 translation-related papers discussing accounting harmonization published from 1989 to 2018. Findings: This paper presents evidence of theoretical contradictions likely to affect the development of translation research in accounting if they go unrecognized. Moreover, the analysis suggests that these contradictions are likely to originate in the assumptions of mainstream accounting research, which neglect both the constructed nature of equivalence and the socially constructed nature of accounting concepts. Originality/value: Despite the significance of translation for the objective of international comparability, this paper is the first comprehensive theoretical approach to equivalence in accounting research. It responds to a recognized demand for studying equivalence and its limitations, challenges many of the expectations accounting research places on translation and discusses the possible origins of related assumptions. © 2020, Emerald Publishing Limited.","Equivalence; Financial accounting; International comparability; Translation",,"Laaksonen, J.; Faculty of Management and Business, Finland; email: jenni.laaksonen@tuni.fi",,"Emerald Group Holdings Ltd.",09513574,,,,"English","Account. Audit. Account. J.",Article,"Final","",Scopus,2-s2.0-85091138916
"Tucker B.P.","55583300600;","Jumping through hoops: publishing interview-based management accounting research",2020,"Accounting, Auditing and Accountability Journal","34","1",,"223","241",,,"10.1108/AAAJ-08-2020-4737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090980612&doi=10.1108%2fAAAJ-08-2020-4737&partnerID=40&md5=8c04f9e4b5542cbbc7cdfc95f888db48","UniSA Business, University of South Australia, Adelaide, Australia","Tucker, B.P., UniSA Business, University of South Australia, Adelaide, Australia","Purpose: This reflection is aimed primarily at doctoral students, early career researchers and more experienced accounting researchers seeking to undertake interview-based academic accounting research. It is specifically designed to identify and confront some common obstacles to publishing interview-based management accounting research. Design/methodology/approach: This reflection is autoethnographic in the sense that it is based primarily on my publication experience, observations and reflections as an author/co-author and also as a reviewer and editor/editorial board member in submitting, reviewing and evaluating interview-based management accounting research. It therefore adopts a form of participant observation in approach in which the author seeks to provide to readers a sense of “being there” insofar as addressing the barriers to publishing interview-based management accounting research. Findings: Whilst the insights that interview-based accounting research can offer are well established, there remain practical obstacles in publishing this form of research. These obstacles – portrayed in this paper as “hoops” through which authors must jump – largely reduce to challenges in convincing the reader of the credibility and authenticity of their approach and demonstrating the trustworthiness and dependability of the findings and conclusions reached. Research limitations/implications: The academic and practical issues raised in this commentary will assist emerging scholars in anticipating and dealing with the challenges they face in submitting these types of studies to academic accounting journals. Originality/value: This paper is a critical analysis and reflection of the process of publishing interview-based accounting research. Rather than attempting to replicate the many excellent commentaries on this topic, it is designed to be of practical use to emerging scholars in the design, delivery and presentation of qualitative interview-based accounting research with a particular aim of navigating the submission and review process. © 2020, Emerald Publishing Limited.","Academic publications; Academic research; Interview-based research; Management accounting research; Publishing; Qualitative research",,"Tucker, B.P.; UniSA Business, Australia; email: basil.tucker@unisa.edu.au",,"Emerald Group Holdings Ltd.",09513574,,,,"English","Account. Audit. Account. J.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85090980612
"Quinn M., Feeney O.","54392308200;57190128884;","Domestic waste policy in Ireland – economization and the role of accounting",2020,"Accounting, Auditing and Accountability Journal","33","8",,"2111","2138",,,"10.1108/AAAJ-06-2019-4041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090455144&doi=10.1108%2fAAAJ-06-2019-4041&partnerID=40&md5=71f756fa28fd2b51451c33b4f82a0d1d","Queen's Management School, Queen's University Belfast, Belfast, United Kingdom; Business School, Dublin City University, Dublin, Ireland","Quinn, M., Queen's Management School, Queen's University Belfast, Belfast, United Kingdom; Feeney, O., Business School, Dublin City University, Dublin, Ireland","Purpose: This paper examines how accounting concepts were utilised in domestic waste collection services in Ireland over the past two decades or so. In comparison to other former “free” services in the Irish context, the prevalence of accounting concepts has been greater and delivered a more successful outcome. Design/methodology/approach: Drawing on the concepts of calculation, the “economic” and economization, events around domestic waste policy in Ireland are examined, and the increasing prevalence of concepts such as price, cost and profitability in these processes are a focal point. Publicly available documents such as government policy documents, parliamentary records and media reports are utilised to draw out these concepts. The period of analysis is 1996–2018. Findings: The findings reveal the role of accounting concepts in the economization of domestic waste policy in Ireland. The result of the economization process was a fully privatised, profit-oriented, price-monitored system. Research limitations/implications: This research provides a broad view of accounting concepts in the management of domestic waste. It highlights how waste policy in Ireland travelled through instances of being political and economic over time. The research is limited by its use of secondary data. Originality/value: This study highlights how accounting concepts were used in varying ways to bring about a satisfactory solution to domestic waste disposal in Ireland, namely the privatisation of waste services. © 2020, Emerald Publishing Limited.","Accounting concepts; Calculation; Economization; Waste policy",,"Feeney, O.; Business School, Ireland; email: orla.feeney@dcu.ie",,"Emerald Group Holdings Ltd.",09513574,,,,"English","Account. Audit. Account. J.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85090455144
"Marrone M., Linnenluecke M.K., Richardson G., Smith T.","36135658300;34768782000;14825601700;57196435151;","Trends in environmental accounting research within and outside of the accounting discipline",2020,"Accounting, Auditing and Accountability Journal","33","8",,"2167","2193",,2,"10.1108/AAAJ-03-2020-4457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090236078&doi=10.1108%2fAAAJ-03-2020-4457&partnerID=40&md5=de232fa060855a3521e6110549e3cdf3","Macquarie Business School, Macquarie University, Sydney, Australia; Centre for Corporate Sustainability and Environmental Finance, Macquarie Business School, Macquarie University, Sydney, Australia","Marrone, M., Macquarie Business School, Macquarie University, Sydney, Australia; Linnenluecke, M.K., Centre for Corporate Sustainability and Environmental Finance, Macquarie Business School, Macquarie University, Sydney, Australia; Richardson, G., Macquarie Business School, Macquarie University, Sydney, Australia; Smith, T., Macquarie Business School, Macquarie University, Sydney, Australia","Purpose: The purpose of this article is to track the emergence of topics and research trends in environmental accounting research by using a machine learning method for literature reviews. The article shows how the method can track the emergence of topics and research trends over time. Design/methodology/approach: The analysis of the emergence of topics and shifts in research trends was based on a machine learning approach that allowed the authors to identify “topic bursts” in publication data. The data set of this study contained, 2,502 records published between 1972 and 2019, both within and outside of accounting journals. The data set was assembled through a systematic keyword search of the literature. Findings: Findings indicated that research studies within accounting journals have addressed sustainability concerns in a general fashion, with a recent focus on broad topics such as corporate social responsibility (CSR) and stakeholder theory. Research studies published outside of accounting journals have focussed on more specific topics (e.g. the shift to a low-carbon or circular economy, the attainment of the sustainable development goals [SDGs], etc.) and new methodologies (e.g. accounting for ecosystem services). Research limitations/implications: The method provides an approach for identifying “trending” topics within accounting and non-accounting journals and allows to identify topics and areas that could benefit from a greater exchange of ideas between accounting and non-accounting journals. Originality/value: The authors provide a much needed review of research on the vitally important topic of environmental accounting not only in accounting journals but also in the broader research community. © 2020, Emerald Publishing Limited.","Carbon; Circular economy; Ecosystem services; Environmental accounting; Literature review; Review; Topic burst",,"Smith, T.; Macquarie Business School, Australia; email: t.smith@business.uq.edu.au",,"Emerald Group Holdings Ltd.",09513574,,,,"English","Account. Audit. Account. J.",Review,"Final","",Scopus,2-s2.0-85090236078
