Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Lambert R.A.","57219869223;","Income smoothing as rational equilibrium behavior? a second look: A response",2020,"Accounting Review","95","5",,"265","278",,,"10.2308/TAR-2019-0671","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095851770&doi=10.2308%2fTAR-2019-0671&partnerID=40&md5=76b6c52d178754ae17f0367c8bca3636","University of Pennsylvania, United States","Lambert, R.A., University of Pennsylvania, United States","This paper responds to Hemmer's (2020) critique of Lambert's (1984) paper on income smoothing. Lambert develops and analyzes a two-period agency model in which he shows income smoothing, defined as the second-period action being a decreasing function of the first-period outcome, is part of the equilibrium. Hemmer claims Lambert's analysis contains errors, and that income smoothing does not occur in the model for the reasons Lambert claims. Here, I confirm the Lambert results, show why Hemmer's results appear different than mine, and make clearer the economic forces behind why income smoothing occurs. © 2020 American Accounting Association. All rights reserved.","Contracting; Incentives; Income smoothing",,Review,"Final","",Scopus,2-s2.0-85095851770
"Baik B., Choi S., Farber D.B.","24066615000;57218113787;23491780200;","Managerial ability and income smoothing",2020,"Accounting Review","95","4",,"1","22",,3,"10.2308/ACCR-52600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091661714&doi=10.2308%2fACCR-52600&partnerID=40&md5=aadf654aed33c490b3242c7381cb8be9","Seoul National University, South Korea; Indiana University, United States","Baik, B., Seoul National University, South Korea; Choi, S., Seoul National University, South Korea; Farber, D.B., Indiana University, United States","In this study, we investigate whether managerial ability is related to income smoothing and, if so, whether smoothing associated with managerial ability improves the informativeness of earnings and stock prices about future performance. Using a large sample of firms, we find that managerial ability is positively related to smoothing. More importantly, we show that high-ability managers incorporate more forward-looking information about cash flows into current earnings through smoothing, thereby enhancing earnings informativeness. We also find that smoothing associated with high-ability managers improves stock price informativeness about future cash flows. Our study should be of interest to researchers, practitioners, and others concerned with understanding the determinants and usefulness of smoothing. © 2020 American Accounting Association. All rights reserved.","Earnings informativeness; Income smoothing; Managerial ability; Signaling",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85091661714
"Barth M.E., Landsman W.R., Raval V., Wang S.","7102913646;7003762923;57211923735;57219199295;","Asymmetric timeliness and the resolution of investor disagreement and uncertainty at earnings announcements",2020,"Accounting Review","95","4",,"23","50",,1,"10.2308/ACCR-52656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091654691&doi=10.2308%2fACCR-52656&partnerID=40&md5=1ab0418401e92410b3b482447e9192b4","Stanford University, United States; University of North Carolina, Chapel Hill, United States; University of Illinois, Chicago, United States; Southern Methodist University, United States","Barth, M.E., Stanford University, United States; Landsman, W.R., University of North Carolina, Chapel Hill, United States; Raval, V., University of Illinois, Chicago, United States; Wang, S., Southern Methodist University, United States","This study finds that greater asymmetric timeliness of earnings in reflecting good and bad news is associated with slower resolution of investor disagreement and uncertainty at earnings announcements. These findings indicate that a potential cost of asymmetric timeliness is added complexity from requiring investors to disaggregate earnings into good and bad news components to assess the implications of the earnings announcement for their investment decisions. Such a disaggregation impedes the speed with which investor disagreement and uncertainty resolve. The findings indicate that asymmetric timeliness also delays price discovery at earnings announcements. We also find a positive relation between asymmetric timeliness and stock returns during the earnings announcement period after the initial price reaction to the announcement, which is consistent with resolution of valuation uncertainty. However, we do not find clear evidence of more net stock purchases during this period by insiders of firms with greater asymmetric timeliness. © 2020 American Accounting Association. All rights reserved.","Conditional conservatism; Earnings announcements; Information content",,Article,"Final","",Scopus,2-s2.0-85091654691
"Choi J., Hecht G., Tafkov I.D., Towry K.L.","55513195200;7006773315;36162114100;6506782140;","Bring the noise, but not the funk: Does the effect of performance measure noise on learning depend on whether the learning is experiential or vicarious?",2020,"Accounting Review","95","4",,"153","172",,,"10.2308/ACCR-52613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091651637&doi=10.2308%2fACCR-52613&partnerID=40&md5=fb8389fe0b42b287d1ac21a746747692","University of Wisconsin-Madison, United States; University of Illinois at Urbana-Champaign, United States; Georgia State University, United States; Emory University, United States","Choi, J., University of Wisconsin-Madison, United States; Hecht, G., University of Illinois at Urbana-Champaign, United States; Tafkov, I.D., Georgia State University, United States; Towry, K.L., Emory University, United States","Performance measure noise can be a critical barrier to employees' learning. Using an experiment, we examine whether the effects of performance measure noise on employees' learning depends on the type of learning in which employees engage: experiential versus vicarious. We predict and find performance measure noise has a more deleterious effect on learning when such learning occurs experientially rather than vicariously. Specifically, we find experiential learners demonstrate less learning as performance measure noise increases, but vicarious learners show no such effect of performance measure noise. Collectively, our findings suggest performance measure noise and learning type play important roles in the extent to which firms realize the decision-facilitating benefits of performance measurement systems. In particular, since much of the learning in modern organizations occurs vicariously, our findings suggest performance measure noise may not be as detrimental to employees' learning as previously thought. © 2020 American Accounting Association. All rights reserved.","Experiential learning; Learning; Performance measure noise; Vicarious learning",,Article,"Final","",Scopus,2-s2.0-85091651637
"Hepfer B.F., Wilde J.H., Wilson R.J.","57201461820;56117428300;25226192800;","Tax and nontax incentives in income shifting: Evidence from shadow insurers",2020,"Accounting Review","95","4",,"219","262",,,"10.2308/ACCR-52657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091643931&doi=10.2308%2fACCR-52657&partnerID=40&md5=7c8587a857326dd23cdf6e23eb651c6a","Texas A&M University, United States; University of Iowa, United States; University of Oregon, United States","Hepfer, B.F., Texas A&M University, United States; Wilde, J.H., University of Iowa, United States; Wilson, R.J., University of Oregon, United States","Using the shadow insurance setting, we study the interplay between tax and nontax incentives in income shifting. Shadow insurance involves intercompany transactions designed to help firms meet regulatory capital requirements. However, prior to the Tax Cuts and Jobs Act of 2017 (TCJA), foreign-owned life insurance firms could save taxes by using shadow insurance to shift U.S. profits to tax havens. Consistent with expectations, we find that while nontax incentives appear to be the dominant factor behind firms' use of shadow insurance, tax considerations also played a role for certain firms. We also find that shadow insurance is associated with lower liquid asset holdings and increased credit risk. Overall, our results suggest that taxes were an important incentive for foreign-owned life insurance firms to use shadow insurance pre-TCJA. Moreover, in this setting, nontax considerations appeared to have motivated U.S.-owned firms' use of tax havens. © 2020 American Accounting Association. All rights reserved.","Income shifting; Shadow insurance; Tax avoidance",,Article,"Final","",Scopus,2-s2.0-85091643931
"Deller C., Sandino T.","57215206152;16032546100;","Who should select new employees, headquarters or the unit manager? Consequences of centralizing hiring at a retail chain",2020,"Accounting Review","95","4",,"173","198",,,"10.2308/ACCR-52611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091642458&doi=10.2308%2fACCR-52611&partnerID=40&md5=0c78485d2a0eb8a82cafb62c99651296","University of Pennsylvania, United States; Harvard University, United States","Deller, C., University of Pennsylvania, United States; Sandino, T., Harvard University, United States","We examine how changing the allocation of hiring decision rights in a multiunit organization affects employee-firm match quality, contingent on a unit's circumstances. Our research site, a U.S. retail chain, switched from a decentralized hiring model (hiring by business unit managers-in our case, store managers) to centralized hiring (in this study, by the head office). While centralized hiring can ensure that enough resources are invested in hiring people aligned with company values, it can also neglect the unit managers' local knowledge. Using difference-in-differences analyses, we find that the switch is associated with relatively higher employee departure rates and, thus, poorer matches if the business unit manager has a local advantage; that is, if the store serves repeat customers, serves a demographically atypical market, or poses higher information-gathering costs for headquarters. In these cases, the unit manager may be more informed than headquarters about which candidates best match local conditions. © 2020 American Accounting Association. All rights reserved.","Company values; Control; Decentralization; Hiring; Organizational design; Retail chains; Selection",,Article,"Final","",Scopus,2-s2.0-85091642458
"Hope O.-K., Lu H.","6506561141;57196356290;","Economic consequences of corporate governance disclosure: Evidence from the 2006 SEC regulation on related-party transactions",2020,"Accounting Review","95","4",,"263","290",,,"10.2308/ACCR-52608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091640874&doi=10.2308%2fACCR-52608&partnerID=40&md5=386d63dd65d133d164a24a46cadedf7b","University of Toronto, Canada; BI Norwegian Business School, Norway; University of Waterloo, Canada","Hope, O.-K., University of Toronto, Canada, BI Norwegian Business School, Norway; Lu, H., University of Waterloo, Canada","This paper examines economic consequences of a 2006 Securities and Exchange Commission regulation that mandated public firms to disclose their governance policies on related-party transactions (RPTs). Employing hand-collected RPT data for S&P 1500 firms, we find that the initiation of RPT governance disclosure significantly reduces the occurrence of RPTs, and that the reduction in RPTs is negatively associated with the implied cost of capital (ICC) and positively related to Tobin's Q. These effects are more pronounced for low-monitored firms and for firms with RPTs that are more likely to be opportunistic. We further find that firms with a formal written policy, a designated committee to review and approve RPTs, or more extensive disclosure on RPT governance benefit in terms of lower ICC. © 2020 American Accounting Association. All rights reserved.","Corporate governance; Disclosure regulation; Implied cost of capital; Real consequences; Related-party transactions; RPT governance; SEC; Valuation",,Article,"Final","",Scopus,2-s2.0-85091640874
"Kaplan S.E., Kenchington D.G., Wenzel B.S.","7403238320;57196422100;57219196470;","The valuation of discontinued operations and its effect on classification shifting",2020,"Accounting Review","95","4",,"291","311",,1,"10.2308/TAR-2016-0235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091640114&doi=10.2308%2fTAR-2016-0235&partnerID=40&md5=c0d375ee0f760f28ec25a8eddc0e18ad","Arizona State University, United States; McGill University, Canada","Kaplan, S.E., Arizona State University, United States; Kenchington, D.G., Arizona State University, United States; Wenzel, B.S., McGill University, Canada","Research documents that firms shift operating expenses into income-decreasing, but not income-increasing, discontinued operations. We argue that valuation considerations explain this asymmetric result, as acquirers are likely to value the earnings of income-increasing discontinued operations more highly than the earnings of income-decreasing discontinued operations. Using a large sample of hand-collected data, we show that pre-tax earnings and operating expenses are significantly more value-relevant for income-increasing discontinued operations, supporting our economic explanation for why firms do not shift operating expenses into income-increasing discontinued operations. Additional analysis shows that in situations where managers are constrained from shifting operating expenses due to valuation concerns, they shift tax expense (an expense that is less value-relevant) from continuing operations into income-increasing discontinued operations. Overall, we conclude that valuation considerations constrain firms from shifting operating expenses into income-increasing discontinued operations, but do not constrain firms shifting tax expenses. © 2020 American Accounting Association. All rights reserved.","Classification shifting; Discontinued operations; Earnings management; Tax expense; Valuation",,Article,"Final","",Scopus,2-s2.0-85091640114
"Bhaskar L.S.","57193624717;","How do risk-based inspections impact auditor behavior? Experimental evidence on the PCAOB's process",2020,"Accounting Review","95","4",,"103","126",,,"10.2308/TAR-2016-0007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091640048&doi=10.2308%2fTAR-2016-0007&partnerID=40&md5=7ebc0a3b2b58cef4d40b4a1cef525d74","Indiana University, United States","Bhaskar, L.S., Indiana University, United States","I provide theory-based causal evidence on the effects of risk-based regulatory inspections, modeled after the PCAOB's, on auditor behavior in a multi-client setting where clients with relatively higher misstatement risk (''higher-risk'' clients) have a higher risk of being inspected than clients with relatively lower misstatement risk (''lower-risk'' clients). I predict and find that inspections increase auditor effort, but only for higher-risk clients. Inspections also impair auditors' decision performance for lower-risk clients relative to a regime without inspections and relative to higher-risk clients within an inspections regime, ceteris paribus. Theory-based process model results show that inspections increase auditors' perceived inspection risks, which increase auditor effort for higher-risk clients, but also increase auditors' task-related anxiety, resulting in decreased decision performance for lower-risk clients. Notwithstanding the previously identified benefits, this study identifies potential unintended consequences of risk-based regulatory inspections. © 2020 American Accounting Association. All rights reserved.","Audit quality; Audit regulation; Auditor behavior; Client risk; PCAOB inspections",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85091640048
"Bauer T.D., Bucaro A.C., Estep C.","55954315000;57202451497;57203286941;","The unintended consequences of material weakness reporting on auditors' acceptance of aggressive client reporting",2020,"Accounting Review","95","4",,"51","72",,,"10.2308/ACCR-52610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091640003&doi=10.2308%2fACCR-52610&partnerID=40&md5=71c2201a714133051f41a34531fe58f5","University of Waterloo, Canada; Case Western Reserve University, United States; Emory University, United States","Bauer, T.D., University of Waterloo, Canada; Bucaro, A.C., Case Western Reserve University, United States; Estep, C., Emory University, United States","Regulators are concerned that auditors do not sufficiently identify and report material weaknesses in internal control over financial reporting (ICFR). However, psychological licensing theory suggests reporting material weaknesses could have unintended consequences for acceptance of aggressive client financial reporting. In an experiment, we predict and find auditors accept more aggressive client reporting after they report a material weakness in ICFR than after they report no material weakness. We provide evidence licensing underlies this effect. In a second experiment, we investigate the efficacy of an intervention to reduce the identified licensing effects by prompting an audit quality goal. We find this prompt mitigates the unintended consequence when auditors report a material weakness. While regulators are concerned companies are undeservedly receiving clean ICFR audit opinions, our findings indicate adverse ICFR opinions may lead auditors to give companies undeservedly clean financial statement opinions. We provide a potential remedy to this unintended consequence. © 2020 American Accounting Association. All rights reserved.","Audit quality; Internal control over financial reporting; Material weaknesses; Psychological licensing",,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85091640003
