Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Basu S., Vitanza J., Wang W.","7403656354;54404228200;57196099251;","Asymmetric loan loss provision models",2020,"Journal of Accounting and Economics","70","2-3", 101359,"","",,1,"10.1016/j.jacceco.2020.101359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095837667&doi=10.1016%2fj.jacceco.2020.101359&partnerID=40&md5=3537c297af85b3b2a731d045e3e83942","Fox School of Business, Temple University, United States","Basu, S., Fox School of Business, Temple University, United States; Vitanza, J., Fox School of Business, Temple University, United States; Wang, W., Fox School of Business, Temple University, United States","Large net loan charge-offs are frequently associated with large decreases in nonperforming loans and large increases in loan loss provisions, inducing a V-shaped relation between loan loss provisions and nonperforming loan changes. Failure to model the asymmetry attributable to net loan charge-offs can change inferences about the presence of earnings management and the effects of delayed loan loss recognition in prior papers that assumed linearity. Future researchers should either include net loan charge-offs in linear models of loan loss provisions or explicitly model the asymmetry induced by omitting net loan charge-offs. © 2020 Elsevier B.V.","Conditional conservatism; Delayed loan loss recognition; Loan charge-offs; Loan collectability; Misspecification",,"Basu, S.; Fox School of Business, United States; email: Sudipta.Basu@temple.edu",,"Elsevier B.V.",01654101,,JAECD,,"English","J. Account. Econ.",Article,"Final","",Scopus,2-s2.0-85095837667
"Zhang I.X., Zhang Y.","17344759100;55850752500;","Discussion of “The effect of fair value accounting on the performance evaluation role of earnings”",2020,"Journal of Accounting and Economics","70","2-3", 101343,"","",,,"10.1016/j.jacceco.2020.101343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095832460&doi=10.1016%2fj.jacceco.2020.101343&partnerID=40&md5=f44f8bb7078477271d8b16b6784450da","School of Business, University of California, Riverside, United States; School of Accounting and Finance, Hong Kong Polytechnic University, China","Zhang, I.X., School of Business, University of California, Riverside, United States; Zhang, Y., School of Accounting and Finance, Hong Kong Polytechnic University, China","Using the setting of IFRS adoption, DeFond, Hu, Hung, and Li (2020) examine the impact of fair value accounting on the usefulness of earnings in executive performance evaluation and compensation. In this discussion, we review the research design, discuss the implications of the findings, and provide suggestions for future research. In particular, DeFond et al.’s measure of the impact of fair value accounting may contain substantial measurement error, which calls for additional analyses. We believe that DeFond et al. address an important question motivated by recent developments in accounting standard setting. Yet, the broader question of whether and how IFRS fair value provisions affect the way compensation contracts are written and the usefulness of accounting information, not just that of earnings, has not been fully understood. © 2020 Elsevier B.V.","Compensation contracting; Fair value accounting; Usefulness of accounting information",,"Zhang, I.X.; School of Business, United States; email: ivy.zhang@ucr.edu",,"Elsevier B.V.",01654101,,JAECD,,"English","J. Account. Econ.",Article,"Final","",Scopus,2-s2.0-85095832460
"Sutherland A.G.","57211182883;","Technology is changing lending: Implications for research",2020,"Journal of Accounting and Economics","70","2-3", 101361,"","",,,"10.1016/j.jacceco.2020.101361","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093119023&doi=10.1016%2fj.jacceco.2020.101361&partnerID=40&md5=67bd30dd39a5b0b42c9d0b67a0c3c098","MIT Sloan School of Management, United States","Sutherland, A.G., MIT Sloan School of Management, United States","Costello, Down, and Mehta (2020) trace their slider intervention to deviations from the credit line amount recommended by a credit scoring model. The deviations are followed by larger delinquency declines and bigger sales orders, and Costello et al. interpret these results using discretion-based theories. However, incremental deviations are concentrated on newer clients rather than those the lender has accumulated soft information about. Deviations also appear larger for public than private borrowers. My discussion evaluates whether these results align with discretion-based theories, and explores alternative interpretations based on salience and unique aspects of the trade credit setting. Differences in interpretation aside, the evidence is informative about technological advances in commercial lending. I conclude with an overview of several recent advances and discuss the implications for lending research. © 2020 Elsevier B.V.","Commercial lending; Discretion; Fintech; Loan officers; Relationship lending; Trade credit",,,,"Elsevier B.V.",01654101,,JAECD,,"English","J. Account. Econ.",Note,"Final","",Scopus,2-s2.0-85093119023
"Costello A.M., Down A.K., Mehta M.N.","36815760400;57219867172;57199170680;","Machine + man: A field experiment on the role of discretion in augmenting AI-based lending models",2020,"Journal of Accounting and Economics","70","2-3", 101360,"","",,1,"10.1016/j.jacceco.2020.101360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093109431&doi=10.1016%2fj.jacceco.2020.101360&partnerID=40&md5=5b142fdb71062c455c37c0b6aae6ca08","University of Michigan, Ross School of Business, United States; University of Toronto, Department of Management (UTSC) & Rotman School of Management, Canada","Costello, A.M., University of Michigan, Ross School of Business, United States; Down, A.K., University of Toronto, Department of Management (UTSC) & Rotman School of Management, Canada; Mehta, M.N., University of Michigan, Ross School of Business, United States","We assess the role of human discretion in lending outcomes using a randomized, controlled experiment. The lenders in our sample utilize a third party, machine-generated credit model as an input in their decision. We design a new feature for the credit-scoring platform – the slider feature – which invites lenders to incorporate additional discretion in their decision by adjusting the machine-based recommendation. We compare the loan outcomes for treatment lenders that randomly get the slider, relative to a control group. The treatment group's adjustments are predictive of forward looking portfolio characteristics – they show larger declines in future portfolio-level credit risk and larger increases in future sales orders, relative to the control group. The effects of our intervention are more pronounced when borrowers do not have social media accounts and in competitive markets. Our study provides insights about the role of human decisions, given the rapid evolution of machine-based lending models. © 2020 Elsevier B.V.","Artificial intelligence; Discretion; fintech; Machine-learning; Relationship lending",,"Costello, A.M.; University of Michigan, United States; email: amcost@umich.edu",,"Elsevier B.V.",01654101,,JAECD,,"English","J. Account. Econ.",Article,"Final","",Scopus,2-s2.0-85093109431
"Beatty A., Liao S.","7007059325;36449217200;","Alternative evidence and views on asymmetric loan loss provisioning",2020,"Journal of Accounting and Economics","70","2-3", 101362,"","",,,"10.1016/j.jacceco.2020.101362","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092071567&doi=10.1016%2fj.jacceco.2020.101362&partnerID=40&md5=2be59ebf72e6adb6e5657e094fa32b30","Fisher College of Business, The Ohio State University 442 Fisher Hall 2100 Neil Avenue, Columbus, OH  43210, United States; Rotman School of Management, Rotman School of Management University of Toronto 105 St. George Street, Toronto, ON  M5S 3E6, Canada","Beatty, A., Fisher College of Business, The Ohio State University 442 Fisher Hall 2100 Neil Avenue, Columbus, OH  43210, United States; Liao, S., Rotman School of Management, Rotman School of Management University of Toronto 105 St. George Street, Toronto, ON  M5S 3E6, Canada","Based on a linear provision/charge-off association and V-shaped scatterplots of these variables against nonperforming loan changes, Basu et al. (2020) argue that nonperforming loan changes mis-measure credit quality and linear provision models are mis-specified. They conclude that residual asymmetry controlling for charge-offs results from loan heterogeneity and the real estate crisis. Using additions to nonaccruals to measure credit quality, we find a linear association with provisions, that controlling for charge-offs induces misspecification, and no evidence of provision asymmetry. These results highlight the importance of basing hypotheses and causal models on theoretical underpinnings rather than on plots subject to known fallacies. © 2020 Elsevier B.V.",,,"Beatty, A.; Fisher College of Business, United States; email: beatty.86@osu.edu",,"Elsevier B.V.",01654101,,JAECD,,"English","J. Account. Econ.",Article,"Final","",Scopus,2-s2.0-85092071567
"Nallareddy S.","55389303700;","Discussion of “ETFs and information transfer across firms”",2020,"Journal of Accounting and Economics","70","2-3", 101358,"","",,,"10.1016/j.jacceco.2020.101358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091233920&doi=10.1016%2fj.jacceco.2020.101358&partnerID=40&md5=9dc9defd1ae005a10712947ac69c9840","Duke University, United States","Nallareddy, S., Duke University, United States","Bhojraj, Mohanram, and Zhang (2020) examine how the presence of different types of Exchange Traded Funds (ETFs) affects information transfer across firms. Using earnings announcements as an information event, the authors document that sector ETFs improve informational efficiency by better facilitating information transfer across firms. Furthermore, sector ETFs reduce post-earnings announcement drift. However, the findings using broad ETFs are mixed. In this discussion, I first place the paper within the broader literature that investigates the informational efficiency of stock prices. Second, I highlight the key insights and contributions of the paper. Third, I discuss empirical design issues and the interpretation of findings. Lastly, I suggest areas for future research. © 2020 Elsevier B.V.","ETF; Information Efficiency; Information Transfer; Post-Earnings-Announcement Drift; Sector ETF",,,,"Elsevier B.V.",01654101,,JAECD,,"English","J. Account. Econ.",Note,"Final","",Scopus,2-s2.0-85091233920
"Chordia T., Miao B.","6602151484;57218800834;","Market efficiency in real time: Evidence from low latency activity around earnings announcements",2020,"Journal of Accounting and Economics","70","2-3", 101335,"","",,1,"10.1016/j.jacceco.2020.101335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090312981&doi=10.1016%2fj.jacceco.2020.101335&partnerID=40&md5=58bc0f881f40a39eba8ecdbb5dae82ad","Emory University, United States; The Chinese University of Hong Kong, Shenzhen, China","Chordia, T., Emory University, United States; Miao, B., The Chinese University of Hong Kong, Shenzhen, China","The literature has used small samples to show that fast trading or low latency trading (LLT) improves efficiency at extremely high frequencies. However, it is not clear whether LLT driven high frequency improvements in efficiency can impact corporate decision making and investor risk sharing or hedging, which are low frequency processes. This paper uses a comprehensive cross-sectional and time-series sample to provide evidence that LLT enhances efficiency around earnings announcements. Low latency traders trade aggressively at the time of the earnings announcements, such that the information in earnings surprises is quickly incorporated into prices and the post-announcement drift is reduced. © 2020 Elsevier B.V.","Earnings announcement; Low-latency trading; Market efficiency; Post-earnings announcement drift",,"Miao, B.; The Chinese University of Hong KongChina; email: miaobin@cuhk.edu.cn",,"Elsevier B.V.",01654101,,JAECD,,"English","J. Account. Econ.",Article,"Final","",Scopus,2-s2.0-85090312981
"Erhard R., Sloan R.G.","57218801551;57210694682;","Does low latency trading improve market efficiency? A discussion",2020,"Journal of Accounting and Economics","70","2-3", 101342,"","",,,"10.1016/j.jacceco.2020.101342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090312912&doi=10.1016%2fj.jacceco.2020.101342&partnerID=40&md5=0cbe4ac3225bbc9eba872ea8c93eb14d","University of Southern California, Leventhal School of Accounting, United States","Erhard, R., University of Southern California, Leventhal School of Accounting, United States; Sloan, R.G., University of Southern California, Leventhal School of Accounting, United States","Chordia and Miao (2020) provide evidence that low-latency trading (LLT) improves the long-term informational efficiency of stock prices. This discussion raises two primary concerns with their analysis. First, the mechanism through which LLT enhances long-term efficiency is unclear. Second, CM's measure of LLT trading activity is correlated with non-LLT trading activity, which may in turn cause the documented improvements in efficiency. We close by proposing an alternative explanation—changes in market microstructure have had a bifurcated impact on liquidity, enhancing efficiency for large and liquid stocks, but not for small and illiquid stocks. © 2020 Elsevier B.V.","Earnings announcements; Liquidity; Low-latency trading; Market efficiency; Post-earnings announcement drift",,"Sloan, R.G.; University of Southern California, United States; email: sloanr@marshall.usc.edu",,"Elsevier B.V.",01654101,,JAECD,,"English","J. Account. Econ.",Article,"Final","",Scopus,2-s2.0-85090312912
"Bhojraj S., Mohanram P., Zhang S.","6701521606;57203442809;57192686064;","ETFs and information transfer across firms",2020,"Journal of Accounting and Economics","70","2-3", 101336,"","",,1,"10.1016/j.jacceco.2020.101336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090303891&doi=10.1016%2fj.jacceco.2020.101336&partnerID=40&md5=fba0d9f6bdaae3113056b80f9e1185ac","S.C. Johnson School of Management, Cornell University, Ithaca, NY  14853, United States; Rotman School of Management, University of Toronto, Toronto, ON  M5S 3E6, United States; Debbie and Jerry Ivy College of Business, Iowa State University, Ames, IA  50010, United States","Bhojraj, S., S.C. Johnson School of Management, Cornell University, Ithaca, NY  14853, United States; Mohanram, P., Rotman School of Management, University of Toronto, Toronto, ON  M5S 3E6, United States; Zhang, S., Debbie and Jerry Ivy College of Business, Iowa State University, Ames, IA  50010, United States","This paper examines the role that exchange-traded funds (ETFs) play in the transfer of information across firms around earnings announcements. Our analysis focuses on the differences in information transfer between broad-based and sector ETFs. We find that firms with sector ETF ownership are associated with reduced over-extrapolation of intra-industry information, increased earnings response coefficients (ERCs), greater responsiveness to the industry and idiosyncratic components of earnings surprise, and reduced post-earnings announcement drift. Conversely, broad-based ETFs are associated with decreased ERCs and lower responsiveness to industry and idiosyncratic information. Follower firms in sector ETFs show stronger reactions and weaker reversals when leader firms in the same ETFs release earnings, while follower firms in broad-based ETFs show weaker reactions and greater reversals. Overall, sector ETFs have improved informational efficiency by facilitating information transfer, while broad ETFs might have worsened informational efficiency in the context of earnings announcements. © 2020 Elsevier B.V.","ETF; Information transfer; Post earnings announcement drift; Sector ETF",,"Bhojraj, S.; S.C. Johnson School of Management, United States; email: sb235@cornell.edu",,"Elsevier B.V.",01654101,,JAECD,,"English","J. Account. Econ.",Article,"Final","",Scopus,2-s2.0-85090303891
"DeFond M., Hu J., Hung M., Li S.","6602107693;56045008200;7202454362;36009025200;","The effect of fair value accounting on the performance evaluation role of earnings",2020,"Journal of Accounting and Economics","70","2-3", 101341,"","",,1,"10.1016/j.jacceco.2020.101341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090303485&doi=10.1016%2fj.jacceco.2020.101341&partnerID=40&md5=3e2fea83c826819f74b0e46ad695107b","University of Southern California, United States; Xiamen University, China; The Hong Kong University of Science and Technology, China; Santa Clara University, United States","DeFond, M., University of Southern California, United States; Hu, J., Xiamen University, China; Hung, M., The Hong Kong University of Science and Technology, China; Li, S., Santa Clara University, United States","We study the effect of fair value accounting on the association between net income and cash pay following the 2005 worldwide adoption of IFRS. We find that, while IFRS's non-fair-value provisions are associated with an increase in this association, its fair value provisions are associated with a decrease in this association. Overall, we contribute to the literature on the usefulness of fair value accounting by presenting evidence that fair value accounting is associated with a decrease in this association. Under assumptions that we detail and subject to caveats that we detail, our evidence suggests that fair value accounting may reduce the usefulness of earnings in evaluating management performance. © 2020 Elsevier B.V.","Accounting earnings; Cash pay; Fair value accounting; Historical cost accounting; IFRS adoption; Management performance evaluation",,"DeFond, M.; University of Southern CaliforniaUnited States; email: defond@marshall.usc.edu",,"Elsevier B.V.",01654101,,JAECD,,"English","J. Account. Econ.",Article,"Final","",Scopus,2-s2.0-85090303485
