Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Bolognesi E., Compagno C., Miani S., Tasca R.","55361783300;41861129300;7006084382;56000204400;","Non-performing loans and the cost of deleveraging: The Italian experience",2020,"Journal of Accounting and Public Policy","39","6", 106786,"","",,1,"10.1016/j.jaccpubpol.2020.106786","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094831525&doi=10.1016%2fj.jaccpubpol.2020.106786&partnerID=40&md5=98b1cda3c3f56970d53fb8fefb92deab","University of Udine, Department of Economics and Statistics, Via Tomadini 30, Udine, 33100, Italy; University of Bologna, Department of Management, University of Bologna, via Capo di Lucca 34, Bologna, 40126, Italy","Bolognesi, E., University of Udine, Department of Economics and Statistics, Via Tomadini 30, Udine, 33100, Italy; Compagno, C., University of Udine, Department of Economics and Statistics, Via Tomadini 30, Udine, 33100, Italy; Miani, S., University of Udine, Department of Economics and Statistics, Via Tomadini 30, Udine, 33100, Italy; Tasca, R., University of Bologna, Department of Management, University of Bologna, via Capo di Lucca 34, Bologna, 40126, Italy","The massive stock of Non-Performing Loans (NPLs) in Europe has forced regulatory and supervisory authorities to promote debate on their management and timely disposal. Simultaneously, the transition to IFRS 9 created the need for higher provisioning and for weighting sale scenarios in the assessment of NPLs. This study, using a scenario analysis based on the Italian experience of the NPL resolution process, focuses on the cost of deleveraging by comparing the alternative strategies of direct sale and securitization. The study highlights the impact of the assumptions derived from the portfolio assessment and the additional cost arising from the uncertainties surrounding the appropriate recovery procedure. It demonstrates that securitization minimises this cost, while estimating the benefit derived from the support of State-backed guarantees. These findings provide useful insights for policy makers, suggesting the promotion of further measures that aim to reduce the transfer of value from banks to third parties. © 2020 Elsevier Inc.","Cost of deleveraging; IFRS 9; Non-performing loans; Securitization; Strategic management",,"Bolognesi, E.; University of Udine, Via Tomadini 30, Italy; email: enrica.bolognesi@uniud.it",,"Elsevier Inc.",02784254,,JACPD,,"English","J. Account. Public Policy",Article,"Final","",Scopus,2-s2.0-85094831525
"Choi W., Gong J.J.","57210440534;35210035700;","Hedge fund activism, CEO turnover and compensation",2020,"Journal of Accounting and Public Policy","39","6", 106774,"","",,,"10.1016/j.jaccpubpol.2020.106774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091250767&doi=10.1016%2fj.jaccpubpol.2020.106774&partnerID=40&md5=06f282577442a19227b56a3e5b087d4f","Department of Accounting, Steven G. Mihaylo College of Business and Economics, California State University, Fullerton, CA  92831, United States","Choi, W., Department of Accounting, Steven G. Mihaylo College of Business and Economics, California State University, Fullerton, CA  92831, United States; Gong, J.J., Department of Accounting, Steven G. Mihaylo College of Business and Economics, California State University, Fullerton, CA  92831, United States","This paper examines the governance role of hedge fund activists by analyzing the impact of these activists on CEO turnover, CEO pay, and CEO pay-performance link in targeted companies. Using the difference-in-difference approach, we first find significantly higher CEO turnover following hedge fund activism. After we split target companies into the CEO-turnover and non-CEO-turnover sub-samples, we find that only new CEOs in targeted companies get more compensation following hedge fund activism while incumbent CEO pay does not significantly change. The relationship between CEO bonuses and return on assets following hedge fund activism also differs across the subsamples split by CEO turnover. Pay-performance relationship is enhanced by hedge fund activism for new CEOs, but not for incumbent CEOs. In additional analyses, we document that CEO turnover is positively associated with Tobin's Q and shareholder votes on Say on Pay in target companies after hedge fund activism. © 2020",,,"Choi, W.; Department of Accounting, United States; email: wchoi@fullerton.edu",,"Elsevier Inc.",02784254,,JACPD,,"English","J. Account. Public Policy",Article,"Final","",Scopus,2-s2.0-85091250767
"Du X., Yin J., Han J., Lin Q.","35268458800;57202816824;57218856360;57218858337;","The price of sinful behavior window dressing: Cultural embeddedness on cigarette packages and financial reporting quality",2020,"Journal of Accounting and Public Policy","39","6", 106776,"","",,,"10.1016/j.jaccpubpol.2020.106776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090479372&doi=10.1016%2fj.jaccpubpol.2020.106776&partnerID=40&md5=75f0c811f2abcfc5326d12140d208fb5","Accounting Department, Xiamen University, China; School of Business, Central South University, China; School of Management, Xiamen University, China","Du, X., Accounting Department, Xiamen University, China; Yin, J., School of Business, Central South University, China; Han, J., School of Management, Xiamen University, China; Lin, Q., School of Management, Xiamen University, China","Using hand-collected data from China, we examine whether cultural embeddedness on cigarette packages affects corporate financial reporting quality, and further investigate the moderating effect of foreign directors. The findings reveal that firms in provinces with more cultural embeddedness on cigarette packages exhibit significantly higher extent of discretionary accruals. This finding suggests that cultural embeddedness on cigarette packages as a tobacco-related sinful behavior window dressing shapes unethical social atmosphere, elicits unethical managerial behavior, brings out information distortion, and eventually reduces financial reporting quality. Moreover, the positive relation between cultural embeddedness on cigarette packages and discretionary accruals is less pronounced for firms with foreign directors than for their counterparts. Furthermore, our findings are robust to a variety of sensitivity tests using alternative proxies for cultural embeddedness on cigarette packages and financial reporting quality, and further our conclusions still stand after employing the difference-in-difference approach, two-stage least square regression procedure and two-stage Heckman method to address the endogeneity problem. Lastly, pictorial health warnings on cigarette packages are significantly negatively related with country-level smokers, but cultural embeddedness on cigarette packages is significantly positively associated with tobacco consumption at the province level and owner-manager agency costs in China, providing supportive evidence to our findings. © 2020 Elsevier Inc.","Cultural embeddedness on cigarette packages; Discretionary accruals; Financial misstatement; Financial reporting quality; Foreign directors; Sinful behavior window dressing",,"Du, X.; School of Management, No. 422, Siming South Road, China; email: xqdu@xmu.edu.cn",,"Elsevier Inc.",02784254,,JACPD,,"English","J. Account. Public Policy",Article,"Final","",Scopus,2-s2.0-85090479372
"Eshleman J.D., Guo P.","55651302300;57221011456;","Do seasoned industry specialists provide higher audit quality? A re-examination",2020,"Journal of Accounting and Public Policy","39","6", 106770,"","",,,"10.1016/j.jaccpubpol.2020.106770","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089602579&doi=10.1016%2fj.jaccpubpol.2020.106770&partnerID=40&md5=5420edf3fe7c242ef6acf3f0698eeb9e","Rutgers, The State University of New Jersey, School of Business – Camden, United States","Eshleman, J.D., Rutgers, The State University of New Jersey, School of Business – Camden, United States; Guo, P., Rutgers, The State University of New Jersey, School of Business – Camden, United States","The purpose of this paper is to re-examine the recent findings in Gaver and Utke (2019) (GU) who find that seasoned industry specialist auditors provide higher audit quality. We first illustrate how the magnitude of residuals from the accruals model can vary significantly by industry, thus highlighting the importance of including industry fixed effects when the dependent variable is discretionary accruals. We next replicate GU's findings. We first attempt to replicate prior literature after including industry fixed effects in the audit quality (discretionary accruals) models. This is an important control, as the relevant benchmark for a firm with an industry specialist auditor is a peer firm in the same industry with a non-specialist auditor. We find that after including industry fixed effects, there is no association between seasoned industry specialist auditors and discretionary accruals. We also find that the association between industry specialization and discretionary accruals is very sensitive to the way in which the researcher calculates specialization. Our findings are informative for shareholders of public companies who vote on auditor ratification. © 2020 Elsevier Inc.","Accruals models; Audit quality; Industry effects; Industry specialization",,"Eshleman, J.D.; Rutgers, United States; email: dan.eshleman@rutgers.edu",,"Elsevier Inc.",02784254,,JACPD,,"English","J. Account. Public Policy",Article,"Final","",Scopus,2-s2.0-85089602579
"Xiao C., Shao Y.","57206897709;57195600912;","Information system and corporate income tax enforcement: Evidence from China",2020,"Journal of Accounting and Public Policy","39","6", 106772,"","",,1,"10.1016/j.jaccpubpol.2020.106772","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089445898&doi=10.1016%2fj.jaccpubpol.2020.106772&partnerID=40&md5=da296247a3373d628a16c0c48df6b1ed","School of Business, Hohai University, Nanjing, Jiangsu  211100, China; School of Economics, Nanjing University, Nanjing, Jiangsu  210093, China","Xiao, C., School of Business, Hohai University, Nanjing, Jiangsu  211100, China; Shao, Y., School of Economics, Nanjing University, Nanjing, Jiangsu  210093, China","This paper adds the literature by investigating the effect of information system on corporate income tax (CIT) enforcement. We exploit the regional variations generated by the implementation in 2013 of the third stage of the China Tax Administration Information System (CTAIS-3) pilot. The CTAIS-3 is a nationally unified information system that significantly reduces information asymmetry between different tax authorities across regions. We find that the CTAIS-3 pilot significantly reduced firms’ conforming and non-conforming tax avoidance. The enhanced tax enforcement is particularly prominent if a firm is of a smaller size, or is administrated by the State Administration of Taxation, or is a non-state-owned enterprises, or locates in cities with a higher level of local fiscal pressure. Furthermore, we show that the CTAIS-3 improved the CIT enforcement by deterring firms from underreporting accounts receivable, as well as over-reporting accounts payable, inventory and the number of employees. In general, it would be more difficult for firms to hide profits from tax authorities under the CTAIS-3. © 2020 Elsevier Inc.","China tax administration information system; Corporate income tax; Information; Tax enforcement",,"Shao, Y.; School of Economics, China; email: shaoych04@gmail.com",,"Elsevier Inc.",02784254,,JACPD,,"English","J. Account. Public Policy",Article,"Final","",Scopus,2-s2.0-85089445898
"Nguyen P.T.T., Kimura A.","57218456348;57218457793;","How plain English use affects the length of annual reports: Evidence from the annual reports of foreign firms listed on the US stock exchange",2020,"Journal of Accounting and Public Policy","39","6", 106773,"","",,,"10.1016/j.jaccpubpol.2020.106773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089252966&doi=10.1016%2fj.jaccpubpol.2020.106773&partnerID=40&md5=796e27d60c23dc12d8c2d496bc73cd9c","University of Economics, The University of Danang, University of Danang, 71 Ngu Hanh Son, Danang, Viet Nam; Graduate School of International Social Sciences, Yokohama National University, 79-1 Tokiwadai, Hodogaya-ku, Yokohama, 240-8501, Japan","Nguyen, P.T.T., University of Economics, The University of Danang, University of Danang, 71 Ngu Hanh Son, Danang, Viet Nam, Graduate School of International Social Sciences, Yokohama National University, 79-1 Tokiwadai, Hodogaya-ku, Yokohama, 240-8501, Japan; Kimura, A., Graduate School of International Social Sciences, Yokohama National University, 79-1 Tokiwadai, Hodogaya-ku, Yokohama, 240-8501, Japan","This study examines the impacts of plain English on the length of annual reports for the sample of 20-F forms which are annually filed by foreign firms listed on NYSE and NASDAQ. We found out that foreign firms have better complied with plain English in their disclosures over time with shorter sentences, less jargon, and readable writing styles; however, there was a significant increase in the length of 20-F from 2004 to 2013. We also recognize the impacts of plain English on the length of annual reports are mixed. The issuers may completely improve the readability of annual reports without significantly increasing the length of annual reports if they sophisticatedly combine all four elements of plain English in their disclosures. Additionally, the usage of passive voice and jargon in firms’ disclosures negatively influences the liquidity of stocks. There are significant differences in behaviors of issuing annual reports among countries. After the financial crisis in 2009, annual reports become longer and less readable. © 2020 Elsevier Inc.","20-F; Length of annual reports; Plain English",,"Nguyen, P.T.T.; University of Economics, 71 Ngu Hanh Son, Viet Nam; email: phuong.ntt@due.edu.vn",,"Elsevier Inc.",02784254,,JACPD,,"English","J. Account. Public Policy",Article,"Final","",Scopus,2-s2.0-85089252966
"Abdullah A., Khadaroo I.","57204907125;57194820699;","The trust-control nexus in public private partnership (PPP) contracts",2020,"Journal of Accounting and Public Policy","39","6", 106768,"","",,2,"10.1016/j.jaccpubpol.2020.106768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088802310&doi=10.1016%2fj.jaccpubpol.2020.106768&partnerID=40&md5=2db2266e1fc53a544411777946d706f1","College of Business Administration, University of Sharjah, United Arab Emirates; College of Business and Economics, United Arab Emirates University, United Arab Emirates","Abdullah, A., College of Business Administration, University of Sharjah, United Arab Emirates; Khadaroo, I., College of Business and Economics, United Arab Emirates University, United Arab Emirates","This study examines the trust-control nexus in the context of public private partnership (PPP) contracts. It draws on the literature and the case of two UK school PPP contracts with varying degree of trust among the partners to illustrate the role of control in building competence trust and goodwill trust, and how trust in turn affects control. Prior to entering into the PPP contract, under a condition of high risk and low trust, reliance was placed on formal control to evaluate competence trust for the purpose of selecting a preferred bidder, whilst goodwill trust, which takes time to evolve, played no role in the selection process. During contract implementation, formal control formed the basis for demonstrating competence and nurturing goodwill trust. Trust subsequently determined the extent of reliance on formal control and informal control. In the case of School 1, high level of trust led to a reliance on informal control which enabled partners to focus resources on solving problems, whilst formal control operated in the background. In the case of School 2, low level of trust and perceived lack of transparency led to a demand for additional formal control. This study adds to the trust-control literature by shedding light on how trust relates to control, in the context of long-term PPP contracts which are difficult to specify in advance. © 2020 Elsevier Inc.","Alliances; Control; Partnerships; Performance; PPPs; Trust",,"Khadaroo, I.; Accounting and Finance Department, P.O. Box 15551, Al Ain, United Arab Emirates; email: ikhadaroo@yahoo.com",,"Elsevier Inc.",02784254,,JACPD,,"English","J. Account. Public Policy",Article,"Final","",Scopus,2-s2.0-85088802310
"Li B., Liu Z., Qiang W., Zhang B.","55943181000;57194335561;57218316007;55502553100;","The impact of XBRL adoption on local bias: Evidence from mandated U.S. filers",2020,"Journal of Accounting and Public Policy","39","6", 106767,"","",,,"10.1016/j.jaccpubpol.2020.106767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088787767&doi=10.1016%2fj.jaccpubpol.2020.106767&partnerID=40&md5=b156f1370e834646d208ff17e682a2f3","Department of Accountancy, City University of Hong Kong, Hong Kong; Department of Accountancy and Law, Hong Kong Baptist University, Hong Kong; School of Economics and Management, Harbin Institute of Technology, Shenzhen, China; School of Management and Economics and Shenzhen Finance Institute, The Chinese University of Hong Kong, Shenzhen (CUHK-Shenzhen), China","Li, B., Department of Accountancy, City University of Hong Kong, Hong Kong; Liu, Z., Department of Accountancy and Law, Hong Kong Baptist University, Hong Kong; Qiang, W., School of Economics and Management, Harbin Institute of Technology, Shenzhen, China; Zhang, B., School of Management and Economics and Shenzhen Finance Institute, The Chinese University of Hong Kong, Shenzhen (CUHK-Shenzhen), China","This paper investigates how eXtensible Business Reporting Language (XBRL) adoption affects the information advantage of local investors relative to their non-local counterparts. By employing the recent staggered SEC mandates of XBRL as a natural shock, we show that institutional investors’ local bias decreases after firms adopt XBRL when preparing their financial statements. These results hold in a difference-in-difference research design with firm and year fixed effects or using matched nonadopting firms as controls, as well as a regression discontinuity design. The impact of XBRL adoption on reducing local bias can be explained by three economic channels: decreased information processing costs, increased corporate disclosures, and improved analyst coverage. We further find that institutions’ superior stock returns in geographic proximate equity investments significantly reduces after the XBRL mandate. The observed reduction in institutional investors’ local bias within U.S. companies following the XBRL mandate also applies to the international setting. Overall, our findings support regulators’ claim that XBRL adoption levels the playing field between local and non-local investors. © 2020 Elsevier Inc.","Business reporting language; Institutional holdings; Local bias; XBRL",,"Qiang, W.; School of Economics and Management, Xili, Nanshan District, China; email: qiangwei311@hit.edu.cn",,"Elsevier Inc.",02784254,,JACPD,,"English","J. Account. Public Policy",Article,"Final","",Scopus,2-s2.0-85088787767
"Hitz J.-M., Koch S., Moritz F.","18133490900;57216506012;57216503478;","Downlistings in European exchange-regulated markets: The role of enforcement",2020,"Journal of Accounting and Public Policy","39","6", 106735,"","",,,"10.1016/j.jaccpubpol.2020.106735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083715465&doi=10.1016%2fj.jaccpubpol.2020.106735&partnerID=40&md5=54a834b019fb39c916547091561ce3b3","Georg-August-University, Göttingen, Germany","Hitz, J.-M., Georg-August-University, Göttingen, Germany; Koch, S., Georg-August-University, Göttingen, Germany; Moritz, F., Georg-August-University, Göttingen, Germany","This paper investigates the potential role of enforcement action in shaping firms’ decisions to opt out of highly regulated stock market regimes. Our analyses are set in the German environment, where firms may choose to “downlist” from an EU-regulated to an exchange-regulated stock market, thereby circumvent mandatory preparation of IFRS financial statements and enforcement oversight. We find that downlisting firms are more likely to have been censured by enforcement bodies for erroneous accounting, compared to a sample of control firms, and that this association is more pronounced for severe or controversial errors. This finding is consistent with enforcement actions creating costs for firms and managers. Event study analyses show that market price reactions to firms’ downlisting announcements are negative in about one out of two cases. This suggests that in quite a few cases, managers, by downlisting, may be protecting private benefits rather than the interests of equity holders. Additional analyses reveals that about half of our sample firms continued to prepare IFRS financial statements on a voluntary basis after the downlisting. Taken together, our results contribute to the literature on the economic consequences of the EU's IAS and enforcement regulation by suggesting that some firms adopt avoidance strategies to opt out of enforcement supervision. © 2020 Elsevier Inc.",,,"Hitz, J.-M.; Georg-August-UniversityGermany; email: hitz@wiwi.uni-goettingen.de",,"Elsevier Inc.",02784254,,JACPD,,"English","J. Account. Public Policy",Article,"Final","",Scopus,2-s2.0-85083715465
"Khumawala S.B., Ranasinghe T., Yan C.J.","6507170214;55791711800;57205560809;","Real effects of governmental accounting standards: Evidence from GASB statement No. 53 – Accounting and financial reporting for derivative instruments",2020,"Journal of Accounting and Public Policy","39","5", 106719,"","",,,"10.1016/j.jaccpubpol.2020.106719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092918703&doi=10.1016%2fj.jaccpubpol.2020.106719&partnerID=40&md5=902bca3fbd7d808ce774cbaa1993b88a","C. T. Bauer College of Business – University of Houston, United States; Kogod School of Business, American University, United States; Rutgers Business School, United States","Khumawala, S.B., C. T. Bauer College of Business – University of Houston, United States; Ranasinghe, T., Kogod School of Business, American University, United States; Yan, C.J., Rutgers Business School, United States","GASB Statement No. 53, Accounting and Financial Reporting for Derivative Instruments, (GASB 53) significantly altered U.S. governmental sector accounting of derivative instruments by mandating the recognition of hitherto off-balance sheet derivative instruments in the government-wide statement of net assets and requiring that ineffective hedges be clearly identified. These requirements have an unfavorable financial statement impact for municipalities with net negative fair value derivative positions and municipalities holding ineffective hedges. Using a hand-collected, comprehensive dataset of municipal derivatives, we examine whether the level of U.S. municipal derivative holdings changed following the adoption of GASB 53. Consistent with GASB 53 affecting municipal officials’ derivative decisions, we find a significant post-GASB 53 reduction in derivative holdings for municipalities with net negative fair value derivative positions and ineffective hedges. Our findings suggest that governmental accounting regulations could affect real decisions of municipal officials and therefore could potentially have public policy implications beyond the provision of information to stakeholders. © 2020","Derivatives; GASB 53; Governmental Accounting; Hedging; Real effects of financial accounting",,"Ranasinghe, T.; Kogod School of Business, United States; email: tranasinghe@american.edu",,"Elsevier Inc.",02784254,,JACPD,,"English","J. Account. Public Policy",Article,"Final","",Scopus,2-s2.0-85092918703
