Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Drymiotes G., Lin H., Ertimur Y.","22940454800;57220921525;6508047370;","Shareholder Empowerment and Board of Directors Effectiveness*",2020,"Contemporary Accounting Research","37","4",,"2649","2695",,,"10.1111/1911-3846.12581","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097868979&doi=10.1111%2f1911-3846.12581&partnerID=40&md5=cc3f6c83dd66ed217818d48a31cc84f6","Texas Christian University, United States; University of Houston, United States","Drymiotes, G., Texas Christian University, United States; Lin, H., University of Houston, United States; Ertimur, Y.","We develop a model to examine implications of empowering shareholders to replace directors. We find that shareholder empowerment functions as a double-edged sword. On the one hand, it can weaken ineffective boards' incentive to hold on to their position. On the other hand, it can induce both effective and ineffective boards to behave strategically to avoid a potential dismissal. As a result, empowerment does not necessarily increase firm value; in some cases, empowerment exacerbates the agency problem it is intended to address. Giving shareholders the power to set board compensation (have a “say on pay”) can mitigate these problems. However, even when empowerment benefits (harms) the shareholders, firm value may decrease (increase). Finally, we discuss empirical and policy implications of the main findings. © CAAA","board of directors; corporate governance; proxy access; shareholder empowerment",,"Drymiotes, G.; Texas Christian UniversityUnited States; email: g.drymiotes@tcu.edu",,"Wiley-Blackwell",08239150,,,,"English","Contemp. Account. Res.",Article,"Final","",Scopus,2-s2.0-85097868979
"Petrov E.","57219669119;","Voluntary Disclosure and Informed Trading*",2020,"Contemporary Accounting Research","37","4",,"2257","2286",,,"10.1111/1911-3846.12600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094683192&doi=10.1111%2f1911-3846.12600&partnerID=40&md5=1293bf1fe88dc8560a909a1f61766f3f","Hong Kong University of Science and Technology, Hong Kong","Petrov, E., Hong Kong University of Science and Technology, Hong Kong","This study analyzes the impact of informed trading on voluntary corporate disclosure in the presence of two factors: the cost of disclosure and the value of a manager's informedness. In the absence of both factors, informed trading has no impact on disclosure even when traders are not certain whether the manager has information. When disclosure is costly, informed trading serves as a free substitute for the disclosure of favorable information, and reduces disclosure. Surprisingly, when the manager's informedness is valuable for the firm, informed trading can also increase disclosure. Traders can discover unfavorable information about the firm, so managers with such information have less incentive to pool with uninformed managers and disclose to show that they are informed. The study also demonstrates that informed trading can have either a positive or a negative effect on firm value by crowding in or crowding out information production in the firm. These results hold for general information structures and are robust if traders can choose how much information can be acquired. © CAAA","information acquisition; informed trading; real effects; voluntary disclosure",,"Petrov, E.; Hong Kong University of Science and TechnologyHong Kong; email: acpetrov@ust.hk",,"Wiley-Blackwell",08239150,,,,"English","Contemp. Account. Res.",Article,"Final","",Scopus,2-s2.0-85094683192
"Bens D., Huang S., Tan L., Wongsunwai W.","6507516126;57103970700;57214398475;53873457400;","Contracting and Reporting Conservatism around a Change in Fiduciary Duties*",2020,"Contemporary Accounting Research","37","4",,"2472","2500",,,"10.1111/1911-3846.12607","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094664697&doi=10.1111%2f1911-3846.12607&partnerID=40&md5=b7ac1998746d1dd04a0dd260d67ed98c","INSEAD, Singapore; Singapore Management University, Singapore; Virginia Polytechnic Institute and State University, United States; Chinese University of Hong Kong, Hong Kong","Bens, D., INSEAD, Singapore; Huang, S., Singapore Management University, Singapore; Tan, L., Virginia Polytechnic Institute and State University, United States; Wongsunwai, W., Chinese University of Hong Kong, Hong Kong","We exploit an influential 1991 Delaware court ruling to examine simultaneously two types of conservatism that play important roles in resolving creditor–owner agency conflicts: contracting conservatism and reporting conservatism. The ruling expanded managerial fiduciary duties in favor of creditors for Delaware-incorporated firms in the vicinity of insolvency. In those firms, following the ruling, debt contracts are less likely to include conservative adjustments to accounting numbers used for covenant compliance (i.e., contracting conservatism decreases), while public financial reporting becomes more conservative (i.e., reporting conservatism increases). The decrease in contracting conservatism is concentrated in firms that exhibit a greater increase in reporting conservatism, suggesting that reporting conservatism is more cost-effective in resolving agency conflicts. In addition, the substitution effect is more pronounced in firms facing greater business uncertainty and firms with greater board independence. © CAAA","contracting conservatism; debt contracting; fiduciary duties; reporting conservatism",,"Wongsunwai, W.; Chinese University of Hong KongHong Kong; email: wwan@baf.cuhk.edu.hk",,"Wiley-Blackwell",08239150,,,,"English","Contemp. Account. Res.",Article,"Final","",Scopus,2-s2.0-85094664697
"Lerman A.","19933926000;","Individual Investors' Attention to Accounting Information: Evidence from Online Financial Communities*",2020,"Contemporary Accounting Research","37","4",,"2020","2057",,1,"10.1111/1911-3846.12603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094636008&doi=10.1111%2f1911-3846.12603&partnerID=40&md5=c77155669d2db6ced8bfaf5bbc5172fb","University of Connecticut, United States","Lerman, A., University of Connecticut, United States","Online financial communities provide a unique opportunity to directly examine individual investors' attention to accounting information on a large scale and in great detail. I analyze accounting-related content in large samples of Yahoo! message board posts and StockTwits and find investors pay attention to a range of accounting information, fixating particularly on earnings, cash, and revenues. Consistent with the expectation that investors react to relevant information events, I find accounting-related discussion elevated around the filings of earnings releases and 8-K reports, but the reaction to periodic reports is confined to small firms. I also find investors expand their acquisition of accounting information and processing efforts in poor information environments. Greater attention to accounting information at earnings releases does not appear to be meaningfully associated with better information processing. © CAAA","corporate disclosures; individual investors; information environment; social media",,"Lerman, A.; University of ConnecticutUnited States; email: alina.lerman@uconn.edu",,"Wiley-Blackwell",08239150,,,,"English","Contemp. Account. Res.",Article,"Final","",Scopus,2-s2.0-85094636008
"da Costa F.M., Liu C., Rosa G.C., Tiras S.L.","55508002700;57219468404;57196470339;7801644027;","The Commitment to Income-Decreasing Accounting Choices as a Credible Signal to Reducing Information Asymmetry: The Case of Asset Revaluations*",2020,"Contemporary Accounting Research","37","4",,"2501","2522",,1,"10.1111/1911-3846.12606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092912751&doi=10.1111%2f1911-3846.12606&partnerID=40&md5=ac345fa5ecf0e2dd2b9c284f88752cc4","Fucape Business School, Brazil; Arizona State University, United States; University of New Orleans, United States; Indiana University, United States","da Costa, F.M., Fucape Business School, Brazil; Liu, C., Arizona State University, United States; Rosa, G.C., University of New Orleans, United States; Tiras, S.L., Indiana University, United States","Bagnoli and Watts (2005) proposed that a manager could reduce information asymmetry by choosing an income-decreasing accounting choice that signals the firm's relatively good future prospects. A limitation in testing this theory is that most income-decreasing accounting choices over time reverse such that aggregated earnings would be the same, regardless of the choice. One income-decreasing accounting choice that never reverses is the choice of upward asset revaluation, where the resulting gains are recognized through other comprehensive income and reduce future earnings by increasing future depreciation expense. In the United Kingdom, prior to FRS15, firms had the option to upwardly revalue on a one-time basis. FRS15, and subsequently International Financial Reporting Standards, however, require those firms that upwardly revalue precommit to revalue on a consistent basis. This precommitment sacrifices future reporting discretion, which, according to the aforementioned study, serves as a costly signal of a firm's relatively good future prospects that reduces information asymmetry. The choice not to upwardly revalue, therefore, serves as a signal of a firm's relatively poor future prospects and also reduces information asymmetry, but this choice does not require precommitment such that the reduction in information asymmetry would be less than the choice to precommit to upward revaluations. Using a propensity-score matched-pair design on a sample of United Kingdom firms to test our predictions during the period requiring precommitment, we find lower forecast dispersion, lower return volatility, and a lower cost of capital for firms that precommit to upward asset revaluations, relative to those firms that choose not to upwardly revalue their operating assets. Keywords: upward asset revaluations, income-decreasing accounting choice, information asymmetry, precommitment. © CAAA","income-decreasing accounting choice; information asymmetry; precommitment; upward asset revaluations",,"Tiras, S.L.; Indiana UniversityUnited States; email: stiras@iu.edu",,"Wiley-Blackwell",08239150,,,,"English","Contemp. Account. Res.",Article,"Final","",Scopus,2-s2.0-85092912751
"Gaertner F.B., Lynch D.P., Vernon M.E.","56182675300;56684067400;57219447560;","The Effects of the Tax Cuts and Jobs Act of 2017 on Defined Benefit Pension Contributions*",2020,"Contemporary Accounting Research","37","4",,"1990","2019",,1,"10.1111/1911-3846.12604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092790171&doi=10.1111%2f1911-3846.12604&partnerID=40&md5=60246fd19a2943feb179147c6fd3ce75","University of Wisconsin–Madison, United States","Gaertner, F.B., University of Wisconsin–Madison, United States; Lynch, D.P., University of Wisconsin–Madison, United States; Vernon, M.E., University of Wisconsin–Madison, United States","This study examines the effect of the Tax Cuts and Jobs Act of 2017 (TCJA) on corporate defined benefit pension contributions. The TCJA decreases the corporate tax rate from 35 percent in 2017 to 21 percent in 2018 and thereafter. This change incentivizes firms to increase 2017 pension contributions to take advantage of tax deductions at a higher rate. Consistent with this incentive, we find firms increase defined benefit pension contributions by an average of 25 to 31 percent in 2017 compared with earlier years. We also find that taxpaying firms are the primary contributors. Further, taxpaying firms with high levels of pension-related deferred tax assets contribute over three times as much as taxpaying firms with low levels of pension-related deferred tax assets. We also find firms that increase pension contributions in 2017 reduce 2018 contributions, consistent with intertemporal income shifting rather than a permanent change in pension funding strategy. © CAAA","deferred tax; pension; tax incentives; tax reform",,"Lynch, D.P.; University of Wisconsin–MadisonUnited States; email: daniel.lynch@wisc.edu",,"Wiley-Blackwell",08239150,,,,"English","Contemp. Account. Res.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85092790171
"Burke J.J., Hoitash R., Hoitash U.","57141536900;20433597800;24337937400;","The Use and Characteristics of Foreign Component Auditors in U.S. Multinational Audits: Insights from Form AP Disclosures*",2020,"Contemporary Accounting Research","37","4",,"2398","2437",,,"10.1111/1911-3846.12605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092715959&doi=10.1111%2f1911-3846.12605&partnerID=40&md5=43ab3e4d1898291d06c9da5fa2ebfec1","University of Colorado Denver, United States; Bentley University, United States; Northeastern University, United States","Burke, J.J., University of Colorado Denver, United States; Hoitash, R., Bentley University, United States; Hoitash, U., Northeastern University, United States","This paper investigates the common, yet previously opaque, practice of using foreign audit firms (component auditors) to conduct portions of audit work for U.S. public companies. U.S. regulators have expressed concern for the transparency and quality of audits using component auditors. Employing data disclosed in the newly mandated PCAOB Form AP, we find that component auditor use is largely structural, determined by the size and complexity of clients' multinational operations. We do not find that the mere use of component auditors is detrimental to audit outcomes, but rather the amount of work conducted by component auditors is associated with lower audit quality (i.e., higher likelihood of misstatement), higher likelihood of nontimely reporting, and higher audit fees, which collectively suggest that component auditor engagements are associated with adverse outcomes. Furthermore, we find that only the work performed by less competent component auditors and those facing geographic and cultural/language barriers, including significant geographic and cultural distance, weak rule of law, and low English language proficiency, is associated with adverse audit outcomes. Overall, these findings provide initial archival evidence that the use of certain component auditors on U.S. multinational audits is associated with audit coordination issues, which suggests that PCAOB Form AP disclosures provide relevant information. © CAAA","audit quality; component auditor; Form AP; multinational audits",,"Hoitash, U.; Northeastern UniversityUnited States; email: u.hoitash@northeastern.edu",,"Wiley-Blackwell",08239150,,,,"English","Contemp. Account. Res.",Article,"Final","",Scopus,2-s2.0-85092715959
"D'Augusta C., DeAngelis M.D.","57219392253;56565070200;","Does Accounting Conservatism Discipline Qualitative Disclosure? Evidence From Tone Management in the MD&A*",2020,"Contemporary Accounting Research","37","4",,"2287","2318",,,"10.1111/1911-3846.12598","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092530764&doi=10.1111%2f1911-3846.12598&partnerID=40&md5=4dc00c7cefa6b8bc0cec51b8dd92a20b","Middle Tennessee State University, United States; Georgia State University, United States","D'Augusta, C., Middle Tennessee State University, United States; DeAngelis, M.D., Georgia State University, United States","We investigate whether accounting conservatism, which has been found to be effective in constraining management opportunism in other settings, constrains upward tone management (UTM) in the Management's Discussion and Analysis (MD&A) portion of the 10-K filing. We hypothesize that conservatism makes it harder for managers to opportunistically downplay bad news and magnify good news when discussing current performance. Consistent with this hypothesis, we find that UTM is negatively associated with several accounting conservatism proxies. Additionally, we hypothesize and find that this association is stronger for firms where managers have higher incentives to manipulate tone. In supplemental analyses, we find evidence to suggest that our results are not due to an endogenous relationship between conservatism and UTM. We also find that conservatism neither encourages downward tone management (DTM) nor constrains managers from conveying real information about future good news. Together, our results suggest that accounting conservatism improves disclosure narratives. © CAAA","accounting conservatism; qualitative disclosure; textual data; tone analysis; tone management",,"D'Augusta, C.; Middle Tennessee State UniversityUnited States; email: carlo.daugusta@mtsu.edu",,"Wiley-Blackwell",08239150,,,,"English","Contemp. Account. Res.",Article,"Final","",Scopus,2-s2.0-85092530764
"Lamoreaux P.T., Mauler L.M., Newton N.J.","56539692600;56685757600;55805174700;","Audit Regulation and Cost of Equity Capital: Evidence from the PCAOB's International Inspection Regime*",2020,"Contemporary Accounting Research","37","4",,"2438","2471",,,"10.1111/1911-3846.12599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092517247&doi=10.1111%2f1911-3846.12599&partnerID=40&md5=c78fb8e75ada6537159005dc010267b8","Arizona State University, United States; Florida State University, United States","Lamoreaux, P.T., Arizona State University, United States; Mauler, L.M., Florida State University, United States; Newton, N.J., Florida State University, United States","This study investigates the relation between audit regulation and cost of equity capital. There is scant empirical evidence on this relation because changes in audit regulation are frequently accompanied by other major regulatory changes. We exploit variation in the timing of regulatory changes induced by foreign governments' staggered allowance of PCAOB inspections. Using a difference-in-differences design, we find that foreign SEC registrants with auditors from countries that allow PCAOB inspections enjoy a lower cost of capital, relative to foreign SEC registrants with auditors from countries that prohibit inspections. Furthermore, we find that this cost of capital effect is attenuated for companies with higher-quality governance mechanisms. Finally, we document that inspection access is associated with higher-quality analyst forecasts, which suggests that this change in audit regulation reduces information risk for market participants. © CAAA","audit regulation; cost of capital; international; PCAOB",,"Newton, N.J.; Florida State UniversityUnited States; email: nnewton@fsu.edu",,"Wiley-Blackwell",08239150,,,,"English","Contemp. Account. Res.",Article,"Final","",Scopus,2-s2.0-85092517247
"Choi J.K., Hann R.N., Subasi M., Zheng Y.","57219147109;8347559900;56282324800;57207566516;","An Empirical Analysis of Analysts' Capital Expenditure Forecasts: Evidence from Corporate Investment Efficiency*",2020,"Contemporary Accounting Research","37","4",,"2615","2648",,,"10.1111/1911-3846.12597","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091429060&doi=10.1111%2f1911-3846.12597&partnerID=40&md5=598064b89cff452a6e7c8f66245705e7","University of Maryland, United States; The Hong Kong University of Science and Technology, Hong Kong","Choi, J.K., University of Maryland, United States; Hann, R.N., University of Maryland, United States; Subasi, M., University of Maryland, United States; Zheng, Y., The Hong Kong University of Science and Technology, Hong Kong","We examine whether the information conveyed in a relatively new analyst research output—capital expenditure (capex) forecasts—affects corporate investment efficiency. We find that firms with analyst capex forecasts exhibit higher investment efficiency. This effect is stronger when the forecasts are issued by analysts with higher ability or greater industry knowledge. Moreover, the effect of capex forecasts on investment efficiency varies with the signals they convey about future growth opportunities—positive-growth signals are more effective in reducing underinvestment, while negative-growth signals are more effective in reducing overinvestment. Cross-sectional tests suggest that these effects operate at least in part through both a financing channel and a monitoring channel. Taken together, our results suggest that analysts' capex forecasts convey useful information about firms' growth opportunities to managers and investors, which can facilitate efficient investment. © CAAA","analyst capital expenditure forecasts; corporate investment efficiency; growth opportunities; real effects",,"Hann, R.N.; University of MarylandUnited States; email: rhann@rhsmith.umd.edu",,"Wiley-Blackwell",08239150,,,,"English","Contemp. Account. Res.",Article,"Final","",Scopus,2-s2.0-85091429060
