Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Whittle A., Carter C.","57210282647;7403317721;","Making strategy critical? Part II: Strategy redux – Macro perspectives",2020,"Critical Perspectives on Accounting","73",, 102262,"","",,,"10.1016/j.cpa.2020.102262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097197001&doi=10.1016%2fj.cpa.2020.102262&partnerID=40&md5=046438efddb9899db4820489bbbb60e7","Newcastle University, United Kingdom; University of Edinburgh, United Kingdom","Whittle, A., Newcastle University, United Kingdom; Carter, C., University of Edinburgh, United Kingdom",[No abstract available],,,,,"Academic Press",10452354,,,,"English","Crit. Perspect. Account.",Editorial,"Final","",Scopus,2-s2.0-85097197001
"Harvey C., Yang R., Mueller F., Maclean M.","7202112955;57217290289;55693740400;24076406800;","Bourdieu, strategy and the field of power",2020,"Critical Perspectives on Accounting","73",, 102199,"","",,1,"10.1016/j.cpa.2020.102199","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087034128&doi=10.1016%2fj.cpa.2020.102199&partnerID=40&md5=088e154970f8992817f546a37d9ba6da","Newcastle University Business School, United Kingdom; Durham University Business School, United Kingdom; School of Management, University of Bath, United Kingdom","Harvey, C., Newcastle University Business School, United Kingdom; Yang, R., Newcastle University Business School, United Kingdom; Mueller, F., Durham University Business School, United Kingdom; Maclean, M., School of Management, University of Bath, United Kingdom","Drawing on Bourdieu's concept of the field of power, we examine the cross-national translation of organizational models and the strategic processes induced in recipient institutional contexts. By means of an in-depth historical case study, we demonstrate how elite strategists mobilized networks and symbolic capital to disrupt field relations and embed the US community foundation model of philanthropy in North East England. Our findings suggest that instead of simply copying alien field-level practices, strategic actors within the philanthropic field adapted and modified them to deliver fit-for-context change legitimated by support from the regional power elite. Our main contribution is to show how strategic elites drawn from different life-worlds build coalitions within the field of power to modify institutional infrastructures and embed innovative organizational models, simultaneously bolstering their legitimacy and symbolic capital. We hold that the field of power construct offers uniquely valuable insights into how strategic elites accomplish institutional change. © 2020 Elsevier Ltd","Bourdieu; Elites; Field of power; Institutional work; Non-market strategy; Symbolic capital",,"Harvey, C.; Newcastle University Business School, United Kingdom; email: charles.harvey@ncl.ac.uk",,"Academic Press",10452354,,,,"English","Crit. Perspect. Account.",Article,"Final","",Scopus,2-s2.0-85087034128
"Faulconbridge J.R., Muzio D.","14323053500;9746988400;","Karl Polanyi on strategy: The effects of culture, morality and double-movements on embedded strategy",2020,"Critical Perspectives on Accounting","73",, 102171,"","",,1,"10.1016/j.cpa.2020.102171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082822642&doi=10.1016%2fj.cpa.2020.102171&partnerID=40&md5=b2eefba5fbfda77bf15ea80b3c6141a1","Department of Organisation, Work and Technology, Lancaster University, Lancaster, LA1 4YX, United Kingdom; New York University, United Kingdom","Faulconbridge, J.R., Department of Organisation, Work and Technology, Lancaster University, Lancaster, LA1 4YX, United Kingdom; Muzio, D., New York University, United Kingdom","Karl Polanyi is arguably one of the most significant economic sociologists. At first glance the links between Polanyi's ideas about markets, society and institutions and strategy may not be obvious. However, there is a hereto unrecognised link between recent writing about institutions and strategy and Polanyi's work. In this paper we, therefore, chart how, when recognised, these links reveal that Karl Polanyi's work might provide new ways of thinking about strategy. Our over-riding claim is that Polanyi's ideas reveal the importance of considering how strategies are defined, responded to, and ultimately rendered effective or ineffective in ways that are determined by relationships between markets, the state and society. It is thus crucial to understand strategy as embedded, this implying consideration of a strategy's legitimacy in economy and society as an instituted process at any particular place and time. This also implies wider political questions about strategy in society and the extent to which strategists need to be aware of the ‘double movement’ Polanyi discusses and ensure strategies serve the interests of society as well as those of the market. © 2020 Elsevier Ltd","Double movement; Globalization; Law firms; Polanyi; Strategy",,"Faulconbridge, J.R.; Department of Organisation, United Kingdom; email: j.faulconbridge@lancaster.ac.uk",,"Academic Press",10452354,,,,"English","Crit. Perspect. Account.",Article,"Final","",Scopus,2-s2.0-85082822642
"Englund H., Gerdin J., Burns J.","23492114400;6506082503;16522827200;","A structuration theory perspective on the interplay between strategy and accounting: Unpacking social continuity and transformation",2020,"Critical Perspectives on Accounting","73",, 101988,"","",,5,"10.1016/j.cpa.2017.03.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048737653&doi=10.1016%2fj.cpa.2017.03.007&partnerID=40&md5=29c8445d47b987c182f91abe24fae89f","Örebro University School of Business, Örebro, SE-701 82, Sweden; University of Exeter Business School, Streatham Court, Streatham Campus, University of Exeter, Exeter, Devon  EX4 4ST, United Kingdom","Englund, H., Örebro University School of Business, Örebro, SE-701 82, Sweden; Gerdin, J., Örebro University School of Business, Örebro, SE-701 82, Sweden; Burns, J., University of Exeter Business School, Streatham Court, Streatham Campus, University of Exeter, Exeter, Devon  EX4 4ST, United Kingdom",[No abstract available],"Accounting; Continuity; Giddens; Strategy; Structuration theory; Transformation",,"Burns, J.; University of Exeter Business School, United Kingdom; email: j.e.burns@exeter.ac.uk",,"Academic Press",10452354,,,,"English","Crit. Perspect. Account.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85048737653
"Mutch A.","6701796781;","Margaret Archer and a morphogenetic take on strategy",2020,"Critical Perspectives on Accounting","73",, 101985,"","",,2,"10.1016/j.cpa.2016.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048737484&doi=10.1016%2fj.cpa.2016.06.007&partnerID=40&md5=cb6f37d7fd8c12931c340d19b8cbc2de","Nottingham Trent University, United Kingdom","Mutch, A., Nottingham Trent University, United Kingdom","The morphogenetic framework developed by the social theorist Margaret Archer is outlined in order to suggest what it might bring to the study of strategy. It is contrasted to practice-based approaches, notably those associated with the work of Richard Whittington and the domain of strategy as practice. Archer's work provides a non-deterministic approach which enables the situating of moments of strategic practice in a wider context. Its stress on agential reflexivity opens up interesting lines of inquiry, not least on the language of strategizing facilitated and encouraged by the multinational corporation. The approach needs to pay more attention to practices, notably organizational routines, but it offers rich resources to the student of organizational strategy. © 2017 Elsevier Ltd","Agency; Critical realism; Margaret Archer; Reflexivity; Strategy; Structure",,,,"Academic Press",10452354,,,,"English","Crit. Perspect. Account.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85048737484
"Rasche A., Seidl D.","23010174100;11739670900;","A Luhmannian perspective on strategy: Strategy as paradox and meta-communication",2020,"Critical Perspectives on Accounting","73",, 101984,"","",,7,"10.1016/j.cpa.2017.03.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048737149&doi=10.1016%2fj.cpa.2017.03.004&partnerID=40&md5=70d4c9b8a33236f01acbb32058fa6d68","Copenhagen Business School, CBS Centre for Corporate Social Responsibility (cbsCSR), Porcelænshaven 18A, Frederiksberg, DK-2000, Denmark; Chair of Organization & Management, University of Zurich, Universitaetstrasse 84, Zurich, 8006, Switzerland; Stockholm School of Economics, Mistra Centre for Sustainable Markets (MISUM), P.O. Box 6501, Stockholm, SE-113 83, Sweden","Rasche, A., Copenhagen Business School, CBS Centre for Corporate Social Responsibility (cbsCSR), Porcelænshaven 18A, Frederiksberg, DK-2000, Denmark, Stockholm School of Economics, Mistra Centre for Sustainable Markets (MISUM), P.O. Box 6501, Stockholm, SE-113 83, Sweden; Seidl, D., Chair of Organization & Management, University of Zurich, Universitaetstrasse 84, Zurich, 8006, Switzerland","Niklas Luhmann's theory of social systems is based on two revolutionary ideas: firstly, that the social world should be conceptualized as consisting of nothing but communications; and secondly, that communications are produced not by human beings but by the network of communications of which they are part. We discuss the insights that can be gained by applying this theory to the study of strategic management. We show that it leads to a reconceptualization of central issues concerning strategy process, strategy content, and strategy context. On this basis, we offer an outline of a framework for studying strategic management from a Luhmannian perspective. This new framework highlights the paradoxical nature of strategizing and conceptualizes strategic management as meta-communication in organizations. © 2017 Elsevier Ltd","Luhmann; Meta-communication; Paradox; Strategy as practice",,"Seidl, D.; Chair of Organization & Management, Universitaetstrasse 84, Switzerland; email: david.seidl@uzh.ch",,"Academic Press",10452354,,,,"English","Crit. Perspect. Account.",Article,"Final","",Scopus,2-s2.0-85048737149
"Constable P., Kuasirikun N.","56229178500;18433946100;","From cosmological to commercial form: A Buddhist theory of ‘form’, ‘space’ and ‘stream of re-becoming’ in mid-19th century Thai accounting",2020,"Critical Perspectives on Accounting","72",, 102113,"","",,,"10.1016/j.cpa.2019.102113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084240985&doi=10.1016%2fj.cpa.2019.102113&partnerID=40&md5=9c5bf60c10940fe817d2048e04521637","School of Humanities, Language and Global Studies, University of Central Lancashire, Preston, PR1 2HE, United Kingdom; University of Manchester, Alliance, Manchester Business School, Booth Street West, Manchester, M15 6PB, United Kingdom","Constable, P., School of Humanities, Language and Global Studies, University of Central Lancashire, Preston, PR1 2HE, United Kingdom; Kuasirikun, N., University of Manchester, Alliance, Manchester Business School, Booth Street West, Manchester, M15 6PB, United Kingdom","This paper elaborates a Buddhist theory of practice which revises theoretical emphasis in the critical accounting literature on the dominance or hegemony of accounting ‘structures’, particularly structural interpretations of dominance and hegemony adapted from analytical frameworks in the works of Gramsci, Foucault, Bourdieu, Giddens and Latour. Using Buddhist theoretical concepts of ‘form’ (rūpa), ‘space’ and ‘emptiness’ (suññatā), and ‘stream’ (sota) of ‘re-becoming’ (punabbhava), this paper argues that perceived dominant or hegemonic ‘forms’ are inherently transient and ephemeral (anicca) because they are continually emptied of ‘self’ (anattā) by confluent ‘flows’ of practice which course in ‘spaces’ within, through and around these ‘forms’ and constantly dis-aggregate and re-aggregate them in variegated ways. The paper exemplifies this importance of ‘flows’ of practice in ‘empty spaces’ in terms of a case-study of transformation from Buddhist cosmologically-premised tax-accounts to commercialised tax-accounts based around Chinese trading practices in mid-19th century Siam/Thailand. The paper analyses the nature of this Siamese accounting transformation or stream of ‘re-becoming’ in terms of the confluent flow of different cosmological and commercial accounting practices, and argues in consequence for the impermanent and transient nature of dominant or hegemonic accounting structures and formations. © 2019 Elsevier Ltd","Buddhism; Form/space; Stream of re-becoming; Thailand",,"Kuasirikun, N.; University of Manchester, United Kingdom; email: nooch.kuasirikun@manchester.ac.uk",,"Academic Press",10452354,,,,"English","Crit. Perspect. Account.",Article,"Final","",Scopus,2-s2.0-85084240985
"Goncharenko G., Khadaroo I.","57205142299;57194820699;","Disciplining human rights organisations through an accounting regulation: A case of the ‘foreign agents’ law in Russia",2020,"Critical Perspectives on Accounting","72",, 102129,"","",,,"10.1016/j.cpa.2019.102129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076508240&doi=10.1016%2fj.cpa.2019.102129&partnerID=40&md5=cbc11248a229199c3e45339bedd66f57","Department of Accounting and Finance, University of Sussex Business School, University of Sussex, Brighton, BN1 9SL, United Kingdom; College of Business and Economics, United Arab Emirates University, Al Maqam Campus, Abu Dhabi, United Arab Emirates","Goncharenko, G., Department of Accounting and Finance, University of Sussex Business School, University of Sussex, Brighton, BN1 9SL, United Kingdom; Khadaroo, I., College of Business and Economics, United Arab Emirates University, Al Maqam Campus, Abu Dhabi, United Arab Emirates","Governments in certain countries have directly and indirectly influenced the activism of non-governmental organisations (NGOs). This study extends prior studies on NGO accountability by showing the potency of accounting in enabling governments to use the pretext of visibility to indirectly achieve an outcome – curbing activism – similar to that resulting from the direct prohibition of foreign funding. It examines how an accounting regulation was utilised to discipline human rights organisations (HROs) and their members of staff by using the case of the ‘foreign agents’ law in Russia. This accounting regulation abruptly changed accounting for foreign funding to stigmatise HROs and influence their political activism. More specifically, the ‘foreign agents’ law: created a new group of governable objects by labelling them as ‘NGOs performing the functions of a foreign agent’ to distinguish them from other types of NGOs; encumbered NGOs with costly reporting requirements; and empowered government authorities to discipline ‘deviant NGOs’ and their employees. The threat of inspections, penalties, damaged reputations and spoiled identities through public shaming campaigns and negative publicity not only resulted in a substantial reduction in human rights activism but also led to the demise of Russian HROs and human rights defenders. © 2019 Elsevier Ltd","Accounting regulation; Disciplinary power; Foreign funding restrictions; Human rights organisations",,"Goncharenko, G.; Department of Accounting and Finance, United Kingdom; email: g.goncharenko@sussex.ac.uk",,"Academic Press",10452354,,,,"English","Crit. Perspect. Account.",Article,"Final","",Scopus,2-s2.0-85076508240
"Matilal S., Adhikari P.","16175556900;55353987800;","Accounting in Bhopal: Making catastrophe",2020,"Critical Perspectives on Accounting","72",, 102123,"","",,,"10.1016/j.cpa.2019.102123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075424952&doi=10.1016%2fj.cpa.2019.102123&partnerID=40&md5=6186bf61f2a1e128a05ce2f66bbbf685","The York Management School, University of York, United Kingdom; Essex Business School, University of Essex, United Kingdom","Matilal, S., The York Management School, University of York, United Kingdom; Adhikari, P., Essex Business School, University of Essex, United Kingdom","The study examines the pervasive role of accounting constructs in the machinations of catastrophe. Using the 1984 Bhopal Gas Tragedy in India as a case, we draw upon the notions of performativity and paralogy advocated by Jean-François Lyotard (1979 trans. 1984), in his seminal work “The Postmodern Condition: A Report on Knowledge”, to showcase how a preoccupation with the maximisation of efficiency, predicated on an illusion of complete control over the system, paved the way for entropy and disaster. Combining document analysis and interviews with key participants, we develop what Lyotard (1984) terms as a petit récit or little narrative, which offers a paralogical evaluation of the tragedy based on dissensus, incorporating conflicting multiple perspectives that suggest the deep-seated nature of accounting constructs in the design of catastrophe. In the process we develop a locally rooted alternative interpretation of the events that preceded the disaster and question the facade of responsibility and safety professed by the 1984 Annual Reports of the Union Carbide Corporation and Union Carbide India Limited. © 2019 Elsevier Ltd","Bhopal; Catastrophe; Lyotard; Performativity",,"Matilal, S.; The York Management School, United Kingdom; email: sumohon.matilal@york.ac.uk",,"Academic Press",10452354,,,,"English","Crit. Perspect. Account.",Article,"Final","",Scopus,2-s2.0-85075424952
"Boedker C., Chong K.-M., Mouritsen J.","9734222800;35184942900;6601982809;","The counter-performativity of calculative practices: Mobilising rankings of intellectual capital",2020,"Critical Perspectives on Accounting","72",, 102100,"","",,1,"10.1016/j.cpa.2019.102100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072250603&doi=10.1016%2fj.cpa.2019.102100&partnerID=40&md5=4d82a956975abde8c338cea3f3e64b53","Quadrangle Building, Room 3072, School of Accounting, UNSW Business School, University of New South Wales, Anzac Parade, Kensington, NSW 2052, Sydney, Australia; Quadrangle Building, Room 3096, School of Accounting, UNSW Business School, University of New South Wales, Anzac Parade, Kensington, NSW 2052, Sydney, Australia; Copenhagen Business School, Solbjerg Plads 3, DK 2000 Copenhagen, Room: SOL/B5.04, Denmark","Boedker, C., Quadrangle Building, Room 3072, School of Accounting, UNSW Business School, University of New South Wales, Anzac Parade, Kensington, NSW 2052, Sydney, Australia; Chong, K.-M., Quadrangle Building, Room 3096, School of Accounting, UNSW Business School, University of New South Wales, Anzac Parade, Kensington, NSW 2052, Sydney, Australia; Mouritsen, J., Copenhagen Business School, Solbjerg Plads 3, DK 2000 Copenhagen, Room: SOL/B5.04, Denmark","This article investigates accounting as a counter-performative practice. For two years and nine months, we followed State Corporation, which participated in a ranking exercise using the Intellectual Asset Health Check launched by the Australian Federal Government in 2010. We find that sceptical employees seized the opportunity made possible by the ranking system to air alternative strategies. Rather than working in a predictable or performative manner, the ranking system was taken out of the hands of management and used against them. The study contributes to extant literatures by showing how accounting can become a tool to mount and sustain resistance. The ranking system, and the ideology it represented, became counter-productive because it produced effects that were ‘counter’ or contrary to its own intent and ideals. © 2019 Elsevier Ltd","Counter-performativity; Intellectual assets; Ranking; Resistance",,"Boedker, C.; Quadrangle Building, Anzac Parade, Kensington, NSW 2052, Australia; email: c.boedker@unsw.edu.au",,"Academic Press",10452354,,,,"English","Crit. Perspect. Account.",Article,"Final","",Scopus,2-s2.0-85072250603
