Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Clune C., O’Dwyer B.","56582245300;57213672598;","Framing Engagement that Resonates: Organizing Advocacy for Corporate Social and Environmental Accountability",2020,"European Accounting Review","29","5",,"851","875",,,"10.1080/09638180.2020.1746374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085970246&doi=10.1080%2f09638180.2020.1746374&partnerID=40&md5=aff0bd2f635205a7cc89bcdd6d242ab2","School of Accounting, UNSW Sydney, Sydney, Australia; Alliance Manchester Business School, University of Manchester, Manchester, United Kingdom; University of Amsterdam Business School, Amsterdam, Netherlands","Clune, C., School of Accounting, UNSW Sydney, Sydney, Australia; O’Dwyer, B., Alliance Manchester Business School, University of Manchester, Manchester, United Kingdom, University of Amsterdam Business School, Amsterdam, Netherlands","This paper examines how advocacy organizations organize engagements to advance corporate social and environmental accountability. We present an in-depth case study examining how an influential Dutch advocacy organization enacted its engagement with companies to promote the adoption of corporate social responsibility (CSR) reporting and management practices. Drawing on the construct of strategic framing, we unpack the characteristics that supported the development of a resonant engagement frame that set the boundaries and expectations around the organization’s engagement with companies. We unveil how several internal organizational deficiencies impeded the quality of these engagements, thereby threatening this frame resonance. The paper extends our understanding of the nature and role of strategic framing in the construction of CSR reporting and advances our limited knowledge of how CSR advocacy organizations’ internal operations impact on their engagement efforts. This allows us to better comprehend how these organizations can set engagement agendas and mobilize support for collaborative CSR change initiatives. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",,,"O’Dwyer, B.; University of Amsterdam Business School, Plantage Muidergracht 12, Netherlands; email: b.g.d.odwyer@uva.nl",,"Routledge",09638180,,,,"English","Eur. Acc. Rev.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85085970246
"Ewelt-Knauer C., Knauer T., Sharp D.","55641216300;36462408400;57216433295;","The Effect of Relative Performance Information, Peers’ Rule-breaking, and Controls on Employees’ own Rule-breaking",2020,"European Accounting Review","29","5",,"927","948",,1,"10.1080/09638180.2020.1745658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083481474&doi=10.1080%2f09638180.2020.1745658&partnerID=40&md5=82258d647f2a8cf4d7e76a0b04b31da1","University of Gießen, Gießen, Germany; Ruhr University Bochum, Bochum, Germany; Ivey Business School, Western University, London, ON, Canada","Ewelt-Knauer, C., University of Gießen, Gießen, Germany; Knauer, T., Ruhr University Bochum, Bochum, Germany; Sharp, D., Ivey Business School, Western University, London, ON, Canada","This study investigates how relative performance information (RPI) and peers’ rule-breaking affect an employee’s own rule-breaking in both the absence and presence of weak formal controls. We vary the presence of RPI (absent vs. present), the level of peers’ rule-breaking (low vs. high), and the presence of weak formal controls (absent vs. present). We find that in the absence of formal controls, RPI provision increases an employee’s rule-breaking when he/she perceives that his/her peers’ rule-breaking is high but not when his/her peers’ rule-breaking is low. We attribute this finding to the increased importance of the behavior of others when RPI is present. Further, we provide evidence that the presence of weak formal controls increases rule-breaking relative to no controls. We argue that such controls alter employees’ perception of the context and induce a more calculative focus on the economic benefits than the costs, while ethical motivations are crowded out. Finally, we show that ethical considerations triggered by RPI in situations of low levels of peers’ rule-breaking become less important when weak controls are present. Overall, this study informs accountants about the effects of RPI, a crucial performance evaluation system, on the critical aspect of rule-breaking. © 2020 European Accounting Association.","Formal control; Peer behavior; Relative performance information; Rule-breaking",,"Knauer, T.Universitätsstraße 150, Germany; email: thorsten.knauer@rub.de",,"Routledge",09638180,,,,"English","Eur. Acc. Rev.",Article,"Final","",Scopus,2-s2.0-85083481474
"Chen J., Dong W., Han H., Zhou N.","57114118300;57114095400;57189841787;57203220355;","Does Audit Partner Workload Compression Affect Audit Quality?",2020,"European Accounting Review","29","5",,"1021","1053",,1,"10.1080/09638180.2020.1726196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081746234&doi=10.1080%2f09638180.2020.1726196&partnerID=40&md5=3684ea2057512e7cbcfc13f8fcf08a15","School of Management, Zhejiang University, Hangzhou, Zhejiang, China; Lindner College of Business, University of Cincinnati, Cincinnati, OH, United States","Chen, J., School of Management, Zhejiang University, Hangzhou, Zhejiang, China; Dong, W., School of Management, Zhejiang University, Hangzhou, Zhejiang, China; Han, H., School of Management, Zhejiang University, Hangzhou, Zhejiang, China; Zhou, N., Lindner College of Business, University of Cincinnati, Cincinnati, OH, United States","The effect of workload compression on the behavior of individual auditors has received extensive attention from regulators and scholars. We study this effect by utilizing two unique institutional features of the Chinese capital market: (1) the auditor signature requirement that reveals audit partner identities and (2) the uniform December 31 fiscal year-end that intensifies workload compression for audit partners. Calculated based on audit fees, our new measure of audit partner workload compression (APWC) is negatively related to accruals quality and the probability of modified audit opinions, while positively associated with the propensity to report small profits and the prospect of audit report delays. Nevertheless, accounting firms and client firms with audit partners facing workload compression are not more likely to receive government sanctions. These findings imply that APWC impairs audit quality but not to the extent that it would lead to egregious outcomes. Our evidence supports the PCAOB call to monitor workloads for individual auditors. © 2020 European Accounting Association.","Accruals Quality; Audit Partner; Audit Quality; Workload Compression",,"Dong, W.; Department of Accounting and Finance, China; email: dowon1211@zju.edu.cn",,"Routledge",09638180,,,,"English","Eur. Acc. Rev.",Article,"Final","",Scopus,2-s2.0-85081746234
"Fredriksson A., Kiran A., Niemi L.","56023988600;57215070303;9634099200;","Reputation Capital of Directorships and Demand for Audit Quality",2020,"European Accounting Review","29","5",,"901","926",,,"10.1080/09638180.2020.1724550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079742134&doi=10.1080%2f09638180.2020.1724550&partnerID=40&md5=6f2643a8160e01d5a6197b1203147d74","Turku School of Economics, University of Turku, Turku, Finland; Aalto University School of Business, Espoo, Finland","Fredriksson, A., Turku School of Economics, University of Turku, Turku, Finland; Kiran, A., Aalto University School of Business, Espoo, Finland; Niemi, L., Aalto University School of Business, Espoo, Finland","This study examines whether boards of directors use external auditing to protect their reputation capital. We hypothesize and find that audit quality increases with the level of directors’ reputation capital. More specifically, using ten-year panel data on Finnish listed companies, we find that our measures of reputation capital based on the number of directorships that directors possess and their compensation are positively associated with various proxies for audit quality. We also find that the observed reputation effect on audit fees is stronger in companies with an audit committee, and that reputation capital matters in auditor choice in those companies in particular. In combination, our results add to the literature on the reputation capital of those in charge of corporate governance. © 2020 European Accounting Association.","Audit fees; Audit quality; Auditor choice; Reputation capital",,"Niemi, L.; Department of Accounting, PO Box 21210, Finland; email: lasse.niemi@aalto.fi",,"Routledge",09638180,,,,"English","Eur. Acc. Rev.",Article,"Final","",Scopus,2-s2.0-85079742134
"Ma C., Li B., Lobo G.J.","57193948733;56387774700;10142124700;","Are Geographical Dispersion and Institutional Dispersion Related to Accounting Misstatements?",2020,"European Accounting Review","29","5",,"949","974",,,"10.1080/09638180.2020.1719857","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079720825&doi=10.1080%2f09638180.2020.1719857&partnerID=40&md5=a11bcb1546f9207b49f3ce2ce62a78a0","School of Economics and Management, Northwest University, Xi'an, China; School of Economics and Finance, Xi’an Jiaotong University, Xi'an, China; C.T. Bauer College of Business, University of Houston, Houston, TX, United States","Ma, C., School of Economics and Management, Northwest University, Xi'an, China; Li, B., School of Economics and Finance, Xi’an Jiaotong University, Xi'an, China; Lobo, G.J., C.T. Bauer College of Business, University of Houston, Houston, TX, United States","We examine the relation between geographical and institutional dispersion and accounting misstatements in China. We hypothesize that geographical dispersion is positively associated with the likelihood of accounting misstatements in subsidiary firms because of increasing monitoring cost and find evidence consistent with this prediction. We also focus on institutional dispersion because institutional duality may affect an organization’s behavior, but do not find that institutional dispersion is associated with accounting misstatements in subsidiary firms. Next, we find that geographical dispersion and institutional dispersion are negatively associated with misstatements in parent firms’ financial statements, consistent with the investor recognition argument. Lastly, we find that the negative (positive) relation between dispersion and parent-level (subsidiary-level) misstatements is more pronounced for state-owned firms and for firms with a wider (narrower) control-ownership wedge. © 2020 European Accounting Association.","Accounting misstatements; Dispersion; Parent firm; Subsidiary firm",,"Li, B.; School of Economics and Finance, No. 74 Yanta West Road, Yanta District, China; email: binlixjtu@163.com",,"Routledge",09638180,,,,"English","Eur. Acc. Rev.",Article,"Final","",Scopus,2-s2.0-85079720825
"Čular M., Slapničar S., Vuko T.","56108387300;6504208133;56108387000;","The Effect of Internal Auditors’ Engagement in Risk Management Consulting on External Auditors’ Reliance Decision",2020,"European Accounting Review","29","5",,"999","1020",,2,"10.1080/09638180.2020.1723667","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079720024&doi=10.1080%2f09638180.2020.1723667&partnerID=40&md5=77226b2a801553f06fdabfe0cf279934","Faculty of Economics, Business and Tourism, University of Split, Split, Croatia; UQ Business School, The University of Queensland, Brisbane, Australia","Čular, M., Faculty of Economics, Business and Tourism, University of Split, Split, Croatia; Slapničar, S., UQ Business School, The University of Queensland, Brisbane, Australia; Vuko, T., Faculty of Economics, Business and Tourism, University of Split, Split, Croatia","We examine external auditors’ decisions to use the evidence or direct assistance of internal auditors when those auditors engage in consulting on enterprise risk management. Although such consulting provides value to an organization, it can also put the objectivity and independence of internal auditors at risk. We hypothesize that external auditors’ reliance on the internal audit function depends on the effectiveness of the audit committee monitoring the internal auditors’ activities. We also hypothesize that external auditors’ perception of the objectivity and independence of internal auditors mediates the reliance decision. We analyze these hypotheses using a 2 × 2 between-subjects design with 92 certified external auditors. Confirming the hypotheses, we find that external auditors’ reliance on the internal audit function is highest when the latter provides risk management consulting under the supervision of a strong audit committee. It is lower if the internal audit function provides only assurance (under either a weak or strong audit committee) and lowest if it provides consulting under a weak audit committee. The mediation analysis shows that the effect of audit committee effectiveness on the reliance decision is mediated by external auditors’ perception of internal auditors’ objectivity. © 2020 European Accounting Association.","Audit committee; Internal auditor; Reliance decision; Risk management consulting",,"Čular, M.; Faculty of Economics, Cvite Fiskovića 5, Croatia; email: mcular@efst.hr",,"Routledge",09638180,,,,"English","Eur. Acc. Rev.",Article,"Final","",Scopus,2-s2.0-85079720024
"He W., Jackson A.B., Li C.K.","37005544900;36711800600;57193898171;","Hierarchy and Performance of Analyst Teams",2020,"European Accounting Review","29","5",,"877","900",,,"10.1080/09638180.2020.1714460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078480512&doi=10.1080%2f09638180.2020.1714460&partnerID=40&md5=44fe4a80b7ca865e5b478480a765fb56","Monash Business School, Monash University, Melbourne, Australia; UNSW Business School, UNSW Sydney, Sydney, Australia","He, W., Monash Business School, Monash University, Melbourne, Australia; Jackson, A.B., UNSW Business School, UNSW Sydney, Sydney, Australia; Li, C.K., UNSW Business School, UNSW Sydney, Sydney, Australia","We examine the effect of hierarchy on analyst teams’ performance using a large sample of financial analysts from China. Hierarchy, defined as the disparity in power or status within a group, which we operationalize as the difference in experience between the senior and junior analyst in a team, is an important aspect of team structure that could affect team performance. We find that analyst teams with a hierarchy outperform flat teams (teams without a clear hierarchy). Specifically, hierarchical teams issue forecasts with higher accuracy, less optimism bias, less co-movement with the consensus, and stronger investor reactions. The results remain robust after we control for a number of firm and analyst characteristics and fixed effects. Further analysis shows that working in a hierarchical team helps junior analysts improve their individual forecasts for other firms, and senior analysts also benefit from working with junior analysts in hierarchical teams. Our results provide important insights into understanding the effect of team structure on the performance of analyst teams who issue majority of earnings forecasts. © 2020 European Accounting Association.","Analyst earnings forecasts; Group hierarchy; Groups; Teamwork",,"Li, C.K.; School of Accounting, Australia; email: k.li@unsw.edu.au",,"Routledge",09638180,,,,"English","Eur. Acc. Rev.",Article,"Final","",Scopus,2-s2.0-85078480512
"Hopland A.O., Ullmann R.","55603979300;55192666600;","Pushing the Wrong Buttons: VAT Evasion by Misclassification of Meal Consumption Type",2020,"European Accounting Review","29","5",,"975","997",,,"10.1080/09638180.2019.1696690","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077380416&doi=10.1080%2f09638180.2019.1696690&partnerID=40&md5=3ff481bdb100ddcfa626d7e911b5844b","Norwegian Center for Taxation (NoCeT), Bergen, Norway; Department of Business and Management Science, Norwegian School of Economics, Bergen, Norway; Chair of Business Taxation, Cluster Finance and Information, University of Augsburg, Augsburg, Germany","Hopland, A.O., Norwegian Center for Taxation (NoCeT), Bergen, Norway, Department of Business and Management Science, Norwegian School of Economics, Bergen, Norway; Ullmann, R., Norwegian Center for Taxation (NoCeT), Bergen, Norway, Chair of Business Taxation, Cluster Finance and Information, University of Augsburg, Augsburg, Germany","We use rich, micro-level tax return data for the entire population of small and medium-sized German restaurants and find empirical evidence that these firms employ the misclassification of meal consumption type as a VAT evasion strategy. Using difference-in-differences as well as triple-difference-in-differences specifications, we find that a ceteris paribus increase in the standard VAT rate significantly increases the declared sales volume of take-away consumption (reduced rate) relative to on-site consumption (standard rate), even though gross prices are customarily identical for both consumption types. © 2019 European Accounting Association.","Small and medium-sized enterprises; Tax base shifting; Tax evasion; Value-added tax",,"Ullmann, R.; University of Augsburg, Universitaetsstrasse 16, Germany; email: Robert.Ullmann@wiwi.uni-augsburg.de",,"Routledge",09638180,,,,"English","Eur. Acc. Rev.",Article,"Final","",Scopus,2-s2.0-85077380416
"Versano T.","57195726251;","Enforcement of Optimal Disclosure Rules in the Presence of Moral Hazard",2020,"European Accounting Review","29","4",,"825","849",,,"10.1080/09638180.2019.1696216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076396326&doi=10.1080%2f09638180.2019.1696216&partnerID=40&md5=b31a1997f7d618d5beaf381d95999fc5","Coller School of Management, Tel Aviv University, Tel Aviv, Israel","Versano, T., Coller School of Management, Tel Aviv University, Tel Aviv, Israel","This paper analyzes the role of disclosure enforcement mechanisms (such as SEC enforcement teams and corporate governance systems) in directing the disclosure practices of managers when the information is used by shareholders to monitor the manager. The paper establishes a role for a disclosure enforcement system by showing that in its absence it is impossible to simultaneously induce a manager to adopt the desirable disclosure strategy and use the disclosure efficiently to monitor him. The paper shows how the effectiveness of the disclosure enforcement system and the cost of disclosure influence (i) the economic viability of the disclosure enforcement system, (ii) the disclosure policy of the manager, and (iii) the value of including stock options in the manager's compensation package. © 2019 European Accounting Association.","Accounting; Concealment Cost; Disclosure Enforcement; Moral Hazard; Optimal Compensation; Stock Options",,"Versano, T.; Coller School of Management, P.O. Box 39040, Israel; email: tversano@tauex.tau.ac.il",,"Routledge",09638180,,,,"English","Eur. Acc. Rev.",Article,"Final","",Scopus,2-s2.0-85076396326
"Kopel M., Riegler C., Schneider G.","6701890346;56060944900;57201261332;","Providing Managerial Accounting Information in the Presence of a Supplier",2020,"European Accounting Review","29","4",,"803","823",,,"10.1080/09638180.2019.1694955","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075926754&doi=10.1080%2f09638180.2019.1694955&partnerID=40&md5=486c896e6858693418a87dc2dd6e422c","Institute of Organization and Economics of Institutions and Center for Accounting Research, University of Graz, Graz, Austria; Institute for Accounting and Auditing, WU Vienna University of Economics and Business, Vienna, Austria; Institute of Accounting and Reporting and Center for Accounting Research, University of Graz, Graz, Austria","Kopel, M., Institute of Organization and Economics of Institutions and Center for Accounting Research, University of Graz, Graz, Austria; Riegler, C., Institute for Accounting and Auditing, WU Vienna University of Economics and Business, Vienna, Austria; Schneider, G., Institute of Accounting and Reporting and Center for Accounting Research, University of Graz, Graz, Austria","This paper identifies a novel effect which is crucial for the design of a management accounting information system. In contrast to prior literature, we explicitly model the firm's relationship to a supplier. We show that in addition to the previously identified trade-off–benefits of more information versus indirect or direct (agency) costs of information acquisition–another effect occurs: the input price effect. This effect influences the optimal design of the management accounting information system and changes the regimes where information acquisition is optimal for the principal. Also, in case of endogenous input prices we demonstrate that–perhaps surprisingly–paying an information rent to the agent can be beneficial because it works as a commitment towards an over-charging supplier to exploit the input price effect. © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Agency conflicts; Information systems; Input price effect; Supply side",,"Riegler, C.; Institute for Accounting and Auditing, Austria; email: christian.riegler@wu.ac.at",,"Routledge",09638180,,,,"English","Eur. Acc. Rev.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85075926754
