Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Kim J., Verdi R.S., Yost B.P.","57221538163;12801334700;57195999406;","Do Firms Strategically Internalize Disclosure Spillovers? Evidence from Cash-Financed M&As",2020,"Journal of Accounting Research","58","5",,"1249","1297",,,"10.1111/1475-679X.12337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092712509&doi=10.1111%2f1475-679X.12337&partnerID=40&md5=b67b94302f558cf3435460f57b2951d1","Stanford Graduate School of Business, United States; MIT Sloan School of Management, United States; Boston College, United States","Kim, J., Stanford Graduate School of Business, United States; Verdi, R.S., MIT Sloan School of Management, United States; Yost, B.P., Boston College, United States","We investigate whether managers internalize the spillover effects of their disclosure on the stock price of related firms and strategically alter their disclosure decisions when doing so is beneficial. Using data on firm-initiated disclosures during all-cash acquisitions, we find evidence consistent with acquirers strategically generating news that they expect will depress the target's stock price. Our results suggest the disclosure strategy leads to lower target returns during the negotiation period when the takeover price is being determined and results in a lower target premium. These findings are robust to a battery of specifications and falsification tests. Our results are consistent with expected spillovers influencing the timing and content of firms’ disclosures in M&A transactions. © University of Chicago on behalf of the Accounting Research Center, 2020","corporate disclosures; internalizing externalities; mergers and acquisitions",,"Verdi, R.S.; MIT Sloan School of ManagementUnited States; email: rverdi@mit.edu",,"Blackwell Publishing Ltd",00218456,,,,"English","J. Account. Res.",Article,"Final","",Scopus,2-s2.0-85092712509
"Gallemore J., Jacob M.","56194898700;37028466200;","Corporate Tax Enforcement Externalities and the Banking Sector",2020,"Journal of Accounting Research","58","5",,"1117","1159",,,"10.1111/1475-679X.12334","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092091669&doi=10.1111%2f1475-679X.12334&partnerID=40&md5=2129c38e4a6ce5df0629c4240060e147","University of Chicago, United States; WHU – Otto Beisheim School of Management, United States","Gallemore, J., University of Chicago, United States; Jacob, M., WHU – Otto Beisheim School of Management, United States","We explore whether corporate tax enforcement can affect bank lending. Specifically, we hypothesize that tax enforcement efforts aimed at small and midsized enterprises (SME) can improve their information environments, which in turn could lead to increased bank commercial lending. Exploiting the regional structure employed by the IRS until 1999, we find that the corporate tax return audit probability for SMEs is associated with greater commercial lending growth for regionally focused banks. We find similar evidence when exploiting the IRS reorganization from a regional to federal system in 2000. Further results show that tax enforcement's impact on SME informational environments is at least partially responsible for this association: The impact of tax auditing on bank lending is stronger for banks facing greater informational disadvantages and in areas where SMEs face greater hold-up problems. Finally, we find that the tax audit rate is positively associated with loan portfolio quality, suggesting that tax enforcement can lead to better loan decisions. Our findings are consistent with the tax authority's mandate having important externalities on bank lending and SME access to capital, suggesting that the benefits to tax enforcement go beyond improving tax collection. © University of Chicago on behalf of the Accounting Research Center, 2020","bank lending; private firms; small and medium enterprises (SME); tax audit; tax authority; tax enforcement",,"Gallemore, J.; University of ChicagoUnited States; email: John.Gallemore@ChicagoBooth.edu",,"Blackwell Publishing Ltd",00218456,,,,"English","J. Account. Res.",Article,"Final","",Scopus,2-s2.0-85092091669
"Huang Y., Li N., Yu Y., Zhou X.","57221274965;56257074000;55731452400;57219293761;","The Effect of Managerial Litigation Risk on Earnings Warnings: Evidence from a Natural Experiment",2020,"Journal of Accounting Research","58","5",,"1161","1202",,,"10.1111/1475-679X.12336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092086133&doi=10.1111%2f1475-679X.12336&partnerID=40&md5=2624475525f3f3ea6360ab727dc51325","Naveen Jindal School of Management, University of Texas at Dallas, United States; McCombs School of Business, University of Texas at Austin, United States; School of Accountancy, Chinese University of Hong Kong, Hong Kong","Huang, Y., Naveen Jindal School of Management, University of Texas at Dallas, United States; Li, N., Naveen Jindal School of Management, University of Texas at Dallas, United States; Yu, Y., McCombs School of Business, University of Texas at Austin, United States; Zhou, X., School of Accountancy, Chinese University of Hong Kong, Hong Kong","We examine the causal effect of managerial litigation risk on managers’ disclosure of earnings warnings in the face of large earnings shortfalls. Exploring the staggered adoption of universal demand (UD) laws as an exogenous decrease in litigation risk, we find that the adoption leads to a decrease in managers’ issuance of earnings warnings, especially among firms facing a higher litigation risk prior to the adoption. In contrast, we find no change in managers’ tendency to alert investors of impending large positive earnings surprises. Collectively, our results provide causal evidence that higher litigation risk incentivizes managers to issue more earnings warnings. Our results differ from Bourveau et al.’s finding of an increase in the frequency of management earnings forecasts after the adoption of UD laws. We reconcile our findings with theirs by demonstrating that the effect of adopting UD laws on management earnings forecasts depends critically on forecast horizon: The adoption increases long-horizon forecasts, but decreases short-horizon forecasts. © University of Chicago on behalf of the Accounting Research Center, 2020","earnings warning; forecast horizon; litigation risk; management earnings forecast; universal demand laws",,"Li, N.; Naveen Jindal School of Management, United States; email: ningzhong.li@utdallas.edu",,"Blackwell Publishing Ltd",00218456,,,,"English","J. Account. Res.",Article,"Final","",Scopus,2-s2.0-85092086133
"Jansen M.","57219282894;","Resolving Information Asymmetry Through Contractual Risk Sharing: The Case of Private Firm Acquisitions",2020,"Journal of Accounting Research","58","5",,"1203","1248",,,"10.1111/1475-679X.12335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092031734&doi=10.1111%2f1475-679X.12335&partnerID=40&md5=e63e1142e002a99e3fec78ee4b2a4e3f","David Eccles School of Business, University of Utah, United States","Jansen, M., David Eccles School of Business, University of Utah, United States","When private firms are acquired, buyers commonly rely on seller financing and earnouts. Using a novel database of private acquisitions, I find that seller financing and earnouts become more common as information asymmetry increases between the acquirer and the target. Financial statement audits of the targets attenuate these results, which suggests that audits decrease information asymmetry in firm acquisitions. Seller-financed acquisitions also close faster and at higher prices, reducing the private firm discount. These findings suggest that these contract structures are an important channel through which privately held firms mitigate adverse selection that arises from information asymmetry. © University of Chicago on behalf of the Accounting Research Center, 2020","acquisitions; adverse selection; asymmetric information; audits; contracts; financial statements; M&A",,"Jansen, M.; David Eccles School of Business, United States; email: mark.jansen@eccles.utah.edu",,"Blackwell Publishing Ltd",00218456,,,,"English","J. Account. Res.",Article,"Final","",Scopus,2-s2.0-85092031734
"Lennox C., Wang C., Wu X.","14521159700;57203541209;56129475600;","Opening Up the “Black Box” of Audit Firms: The Effects of Audit Partner Ownership on Audit Adjustments",2020,"Journal of Accounting Research","58","5",,"1299","1341",,,"10.1111/1475-679X.12333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090951762&doi=10.1111%2f1475-679X.12333&partnerID=40&md5=17a659d2f5c47c1bea5035c62069ba6d","Leventhal School of Accounting, University of Southern California, United States; School of Accountancy and China's Management Accounting Research & Development Center, Central University of Finance and Economics, China","Lennox, C., Leventhal School of Accounting, University of Southern California, United States; Wang, C., School of Accountancy and China's Management Accounting Research & Development Center, Central University of Finance and Economics, China; Wu, X., School of Accountancy and China's Management Accounting Research & Development Center, Central University of Finance and Economics, China","Audit firms need to provide high-quality audits but they also need to please their clients. We argue that these conflicting incentives become manifest when comparing the incentive effects of equity ownership on engagement quality (EQ) reviewers and audit engagement partners. We predict that EQ reviewers monitor audit quality more closely when they hold greater ownership. In contrast, we expect that equity ownership has conflicting effects on the incentives of engagement partners because they need to please their clients as well as provide high-quality audits. Consistent with these predictions, we find that the associations between audit adjustments and partner equity ownership are (1) significantly positive for EQ reviewers, (2) significantly negative or insignificant for audit engagement partners, and (3) significantly more positive for EQ reviewers than engagement partners. Our findings suggest that larger ownership stakes motivate EQ reviewers to monitor audit quality more closely, whereas larger ownership stakes do not motivate engagement partners to deliver higher quality audits. © University of Chicago on behalf of the Accounting Research Center, 2020","audit adjustments; audit partners; engagement quality reviews; equity ownership",,"Lennox, C.; Leventhal School of Accounting, United States; email: clive.lennox@marshall.usc.edu",,"Blackwell Publishing Ltd",00218456,,,,"English","J. Account. Res.",Article,"Final","",Scopus,2-s2.0-85090951762
"Rauter T.","57216637964;","The Effect of Mandatory Extraction Payment Disclosures on Corporate Payment and Investment Policies Abroad",2020,"Journal of Accounting Research","58","5",,"1075","1116",,,"10.1111/1475-679X.12332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089962697&doi=10.1111%2f1475-679X.12332&partnerID=40&md5=ce460ae5f8343d3e72b55fc7cc9ebc91","University of Chicago Booth School of Business, United States","Rauter, T., University of Chicago Booth School of Business, United States","I examine how mandatory extraction payment disclosures (EPD)—a policy solution intended to discourage corporate payment avoidance in the oil, gas, and mining industries—affect fiscal revenue contributions and investments by multinational firms in foreign host countries. Using the staggered adoption of EPD across firms headquartered in Europe and Canada, I find that disclosing companies increase their payments to host governments, decrease investments, and obtain fewer extraction licenses relative to non-disclosing competitors. These effects are stronger for firms that face a high risk of public shaming, operate in corrupt host countries, and have a high exposure to bribery-prone payments, suggesting that EPD increases the reputational cost of corporate behavior that could be perceived as exploitative. The resulting reallocation of investments from disclosing to non-disclosing firms reduces drilling productivity and resource production in host countries, consistent with uneven disclosure regulation distorting capital allocation. © University of Chicago on behalf of the Accounting Research Center, 2020","disclosure regulation; fiscal revenues; foreign investment; real effects; reputational cost; resource allocation",,"Rauter, T.; University of Chicago Booth School of BusinessUnited States; email: Thomas.Rauter@chicagobooth.edu",,"Blackwell Publishing Ltd",00218456,,,,"English","J. Account. Res.",Article,"Final","",Scopus,2-s2.0-85089962697
"Eyring H.","57201727493;","Disclosing Physician Ratings: Performance Effects and the Difficulty of Altering Ratings Consensus",2020,"Journal of Accounting Research","58","4",,"1023","1067",,,"10.1111/1475-679X.12330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089445397&doi=10.1111%2f1475-679X.12330&partnerID=40&md5=1af2f88d394a4c2e14e9768f26620fca","The London School of Economics and Political Science, United Kingdom","Eyring, H., The London School of Economics and Political Science, United Kingdom","I examine effects of a health care system's policy to publicly disclose patient ratings of its physicians. I find evidence that this policy leads to performance improvement by the disclosed, subjective ratings and also by undisclosed, objective measures of quality. These effects are consistent with multitasking theory, in that physicians respond to the disclosure by providing more of a shared input—time with patients—that benefits performance by ratings and underlying quality. I also find, as predicted by information cascade theory, that the ratings become jammed to some degree near initially disclosed values. Specifically, raters observe the pattern of initial ratings and follow suit by providing similar ratings. Finally, I find evidence that physicians anticipate rating jamming and so concentrate their effort on earlier performance in order to set a pattern of high ratings that later ratings follow. These results demonstrate that the disclosure of subjective ratings can benefit performance broadly but can also shift effort toward earlier performance. © 2020 The Authors. Journal of Accounting Research published by Wiley Periodicals LLC on behalf of The Accounting Research Center at the University of Chicago Booth School of Business","disclosure; information cascade; multitasking; real effects",,"Eyring, H.; The London School of Economics and Political ScienceUnited Kingdom; email: h.eyring@lse.ac.uk",,"Blackwell Publishing Ltd",00218456,,,,"English","J. Account. Res.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85089445397
"He J., Tian X., Yang H., Zuo L.","57218283396;37011501600;57218283044;57188859586;","Asymmetric Cost Behavior and Dividend Policy",2020,"Journal of Accounting Research","58","4",,"989","1021",,1,"10.1111/1475-679X.12328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088584920&doi=10.1111%2f1475-679X.12328&partnerID=40&md5=504b4b286ae5ca4b329d5bfae046c510","Terry College of Business, University of Georgia, United States; PBC School of Finance, Tsinghua University, China; Isenberg School of Management, University of Massachusetts Amherst, United States; Johnson Graduate School of Management, Cornell University, United States","He, J., Terry College of Business, University of Georgia, United States; Tian, X., PBC School of Finance, Tsinghua University, China; Yang, H., Isenberg School of Management, University of Massachusetts Amherst, United States; Zuo, L., Johnson Graduate School of Management, Cornell University, United States","Costs are sticky on average, that is, they fall less for sales decreases than they rise for equivalent sales increases. We examine the effect of this asymmetric cost behavior on a firm's dividend policy. Given investors’ aversion to dividend cuts, we predict that firms with higher resource adjustment costs and stickier costs pay lower dividends than their peers because they are less able to sustain any higher level of dividend payouts in the future. We find evidence consistent with this prediction. Further, using a regression discontinuity design that exploits variation in labor adjustment costs generated by close-call union elections, we provide evidence suggesting that the negative relation between cost stickiness and dividend payouts is driven by resource adjustment costs. Our paper sheds new light on the determinants of dividend policy and demonstrates the role of cost behavior in corporate decisions. © University of Chicago on behalf of the Accounting Research Center, 2020","asymmetric cost behavior; cost stickiness; dividend payouts; resource adjustment cost",,"Zuo, L.; Johnson Graduate School of Management, United States; email: lz352@cornell.edu",,"Blackwell Publishing Ltd",00218456,,,,"English","J. Account. Res.",Article,"Final","",Scopus,2-s2.0-85088584920
"Ahmed A.S., Li Y., Xu N.","55316235400;57218286286;57218284377;","Tick Size and Financial Reporting Quality in Small-Cap Firms: Evidence from a Natural Experiment",2020,"Journal of Accounting Research","58","4",,"869","914",,,"10.1111/1475-679X.12331","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088562208&doi=10.1111%2f1475-679X.12331&partnerID=40&md5=cff51bf816ac0e9f990d56514ba75c52","Texas AM University, United States; University of Connecticut, United States","Ahmed, A.S., Texas AM University, United States; Li, Y., Texas AM University, United States; Xu, N., University of Connecticut, United States","Using a natural experiment (the SEC's 2016 Tick Size Pilot Program), we investigate the effects of an increase in tick size on financial reporting quality. The tick size pilot program reduces algorithmic trading (AT) and increases fundamental investors’ information acquisition and trading activities. This in turn increases the scrutiny of managers’ financial reporting choices and reduces their incentives to engage in misreporting. Using a difference-in-differences research design, we find a significant decrease in the magnitude of discretionary accruals, a significant reduction in the likelihood of just meeting or beating analysts’ forecasts, and a marginally significant decrease in restatements for the treated firms in the pilot program. Furthermore, we find that the change in financial reporting quality is concentrated in treated firms experiencing decreases in AT and increases in information acquisition activities. We also find that the mispricing of accruals is significantly lower for treated firms. Taken together, our results suggest that an increase in tick size has a causal effect on firms’ financial reporting quality. © University of Chicago on behalf of the Accounting Research Center, 2020","financial reporting quality; information acquisition; tick size pilot program",,"Ahmed, A.S.; Texas AM UniversityUnited States; email: aahmed@mays.tamu.edu",,"Blackwell Publishing Ltd",00218456,,,,"English","J. Account. Res.",Article,"Final","",Scopus,2-s2.0-85088562208
"Balakrishnan R., Lin H., Sivaramakrishnan K.","7006221858;55738509200;7004735150;","Screening Talent for Task Assignment: Absolute or Percentile Thresholds?",2020,"Journal of Accounting Research","58","4",,"831","868",,,"10.1111/1475-679X.12327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087722444&doi=10.1111%2f1475-679X.12327&partnerID=40&md5=ea949a81c225aa525c2136456d10540b","Tippie College of Business, University of Iowa, United States; C. T. Bauer College of Business, University of Houston, United States; Jones Graduate School of Business, Rice University, United States","Balakrishnan, R., Tippie College of Business, University of Iowa, United States; Lin, H., C. T. Bauer College of Business, University of Houston, United States; Sivaramakrishnan, K., Jones Graduate School of Business, Rice University, United States","Matching talents to tasks is an important part of job design. Organizations routinely use performance thresholds to group agents by talent. We see thresholds defined both in terms of an individual's own performance (absolute value) and in terms of peer performance (percentile). Intuition suggests a preference for percentile thresholds because the resulting rank-order statistic is sufficient to assess relative talent. Yet, in the context of a task assignment problem in which the objective is to match talent with task type (using two agents and two task types), we show that absolute thresholds can dominate percentile thresholds under either of two conditions. First, flexibility in task assignment tilts the balance toward absolute thresholds. Second, performance manipulation can adversely affect the inherent advantage of percentile thresholds because they motivate agents to invest relatively more in personally costly influence activities to cast their performance in a favorable light. We examine how these results hold up when there are countably large number of agents and discuss empirical implications. © University of Chicago on behalf of the Accounting Research Center, 2020","incentives; measurement system; relative performance evaluation",,"Balakrishnan, R.; Tippie College of Business, United States; email: Ramji-Balakrishnan@uiowa.edu",,"Blackwell Publishing Ltd",00218456,,,,"English","J. Account. Res.",Article,"Final","",Scopus,2-s2.0-85087722444
